VM,Timestamp,target
1,2013-06-30 22:05:00,87.7799835
1,2013-06-30 22:10:00,29.2599945
1,2013-06-30 22:15:00,27.3093282
1,2013-06-30 22:20:00,23.4079956
1,2013-06-30 22:25:00,19.506663
1,2013-06-30 22:30:00,29.2599945
1,2013-06-30 22:35:00,29.2599945
1,2013-06-30 22:40:00,29.2599945
1,2013-06-30 22:45:00,29.2599945
1,2013-06-30 22:50:00,19.506663
1,2013-06-30 22:55:00,27.3093282
1,2013-06-30 23:00:00,29.2599945
1,2013-06-30 23:05:00,29.2599945
1,2013-06-30 23:10:00,25.3586619
1,2013-06-30 23:15:00,27.3093282
1,2013-06-30 23:20:00,29.2599945
1,2013-06-30 23:25:00,29.2599945
1,2013-06-30 23:30:00,25.3586619
1,2013-06-30 23:35:00,11.7039978
1,2013-06-30 23:40:00,29.2599945
1,2013-06-30 23:45:00,29.2599945
1,2013-06-30 23:50:00,25.3586619
1,2013-06-30 23:55:00,25.3586619
1,2013-07-01 00:00:00,29.2599945
1,2013-07-01 00:05:00,29.2599945
1,2013-07-01 00:10:00,29.2599945
1,2013-07-01 00:15:00,29.2599945
1,2013-07-01 00:20:00,29.2599945
1,2013-07-01 00:25:00,29.2599945
1,2013-07-01 00:30:00,29.2599945
1,2013-07-01 00:35:00,25.3586619
1,2013-07-01 00:40:00,21.4573293
1,2013-07-01 00:45:00,27.3093282
1,2013-07-01 00:50:00,29.2599945
1,2013-07-01 00:55:00,29.2599945
1,2013-07-01 01:00:00,27.3093282
1,2013-07-01 01:05:00,29.2599945
1,2013-07-01 01:10:00,27.3093282
1,2013-07-01 01:15:00,29.2599945
1,2013-07-01 01:20:00,29.2599945
1,2013-07-01 01:25:00,29.2599945
1,2013-07-01 01:30:00,29.2599945
1,2013-07-01 01:35:00,29.2599945
1,2013-07-01 01:40:00,27.3093282
1,2013-07-01 01:45:00,29.2599945
1,2013-07-01 01:50:00,23.4079956
1,2013-07-01 01:55:00,29.2599945
1,2013-07-01 02:00:00,29.2599945
1,2013-07-01 02:05:00,29.2599945
1,2013-07-01 02:10:00,29.2599945
1,2013-07-01 02:15:00,29.2599945
1,2013-07-01 02:20:00,29.2599945
1,2013-07-01 02:25:00,29.2599945
1,2013-07-01 02:30:00,23.4079956
1,2013-07-01 02:35:00,25.3586619
1,2013-07-01 02:40:00,27.3093282
1,2013-07-01 02:45:00,29.2599945
1,2013-07-01 02:50:00,29.2599945
