Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1377986608;	4;	11703.998064;	1849.231694112;	15.8;	3930068.0;	137013.06666666668;	0.0;	38.0;	2.8;	3.6
1377986908;	4;	11703.998064;	1845.330361424;	15.766666666666667;	3930068.0;	120235.46666666666;	0.0;	36.266666666666666;	2.8666666666666667;	3.7333333333333334
1377987208;	4;	11703.998064;	1960.41967572;	16.75;	3930068.0;	117439.2;	0.0;	36.06666666666666;	3.2;	3.6666666666666665
1377987508;	4;	11703.998064;	1884.343688304;	16.1;	3930068.0;	150993.6;	0.0;	33.8;	3.066666666666667;	3.6666666666666665
1377987808;	4;	11703.998064;	1987.729004536;	16.983333333333334;	3930068.0;	142605.6;	0.0;	36.2;	3.8;	4.333333333333333
1377988108;	4;	11703.998064;	1944.8143449680001;	16.616666666666667;	3930068.0;	142605.6;	0.0;	34.800000000000004;	3.0;	3.8
1377988408;	4;	11703.998064;	1997.482336256;	17.066666666666666;	3930068.0;	142605.6;	0.0;	35.8;	2.933333333333333;	3.6
1377988708;	4;	11703.998064;	1993.5810035679997;	17.03333333333333;	3930068.0;	111846.66666666667;	0.0;	35.73333333333333;	2.7333333333333334;	3.533333333333333
1377989008;	4;	11703.998064;	1985.7783381920003;	16.96666666666667;	3930068.0;	61513.86666666667;	0.0;	35.8;	3.2;	3.8
1377989309;	4;	11703.998064;	1884.343688304;	16.1;	3930068.0;	64310.13333333333;	0.0;	33.8;	2.933333333333333;	3.533333333333333
1377989609;	4;	11703.998064;	2013.087667008;	17.2;	3930068.0;	100661.6;	0.0;	35.2;	3.1333333333333333;	3.6
1377989909;	4;	11703.998064;	2040.396995824;	17.433333333333334;	3930068.0;	106254.13333333333;	0.0;	34.26666666666667;	3.1333333333333333;	3.6
1377990209;	4;	11703.998064;	2028.6929977599998;	17.333333333333332;	3930068.0;	145401.86666666667;	0.0;	37.266666666666666;	3.0;	3.6
1377990509;	4;	11703.998064;	2003.334335288;	17.116666666666667;	3930068.0;	92272.8;	0.0;	37.13333333333333;	2.8666666666666667;	3.533333333333333
1377990809;	4;	11703.998064;	1999.4330025999998;	17.083333333333332;	3930068.0;	111846.66666666667;	0.0;	35.8;	3.1333333333333333;	3.8666666666666667
1377991109;	4;	11703.998064;	1890.1956873359998;	16.15;	3930068.0;	100661.6;	0.0;	34.06666666666666;	3.6;	4.066666666666666
1377991409;	4;	11703.998064;	1909.702350776;	16.316666666666666;	3930068.0;	120235.46666666666;	0.0;	35.33333333333333;	2.933333333333333;	3.533333333333333
1377991709;	4;	11703.998064;	1901.8996854;	16.25;	3930068.0;	123031.73333333334;	0.0;	34.8;	3.1333333333333333;	3.533333333333333
1377992009;	4;	11703.998064;	1897.9983527120003;	16.21666666666667;	3930068.0;	109050.4;	0.0;	35.4;	2.8;	3.533333333333333
1377992309;	4;	11703.998064;	1860.935692176;	15.9;	3930068.0;	142605.6;	0.0;	36.266666666666666;	2.7333333333333334;	3.533333333333333
1377992609;	4;	11703.998064;	1921.40634884;	16.416666666666668;	3930068.0;	195731.73333333334;	0.0;	34.93333333333334;	3.066666666666667;	3.8666666666666667
1377992909;	4;	11703.998064;	2007.2356679759998;	17.15;	3930068.0;	184546.66666666666;	0.0;	33.86666666666666;	2.6666666666666665;	3.466666666666667
1377993209;	4;	11703.998064;	1981.8770055039997;	16.933333333333334;	3930068.0;	114642.66666666667;	0.0;	35.6;	3.066666666666667;	3.6666666666666665
1377993509;	4;	11703.998064;	2013.087667008;	17.2;	3930068.0;	128624.26666666666;	0.0;	35.599999999999994;	3.1333333333333333;	3.6
1377993809;	4;	11703.998064;	1841.429028736;	15.733333333333333;	3930068.0;	100661.6;	0.0;	37.26666666666667;	2.6666666666666665;	3.533333333333333
1377994109;	4;	11703.998064;	1818.0210326079998;	15.533333333333333;	3930068.0;	114642.93333333333;	0.0;	37.46666666666666;	3.0;	3.533333333333333
1377994409;	4;	11703.998064;	1886.2943546479999;	16.116666666666667;	3930068.0;	111846.66666666667;	0.0;	34.93333333333334;	3.066666666666667;	3.7333333333333334
1377994709;	4;	11703.998064;	1942.8636786240002;	16.6;	3930068.0;	164975.73333333334;	0.0;	34.06666666666667;	2.8666666666666667;	3.6
1377995009;	4;	11703.998064;	1903.850351744;	16.266666666666666;	3930068.0;	125828.0;	0.0;	35.4;	3.0;	3.6
1377995309;	4;	11703.998064;	1987.729004536;	16.983333333333334;	3930068.0;	106254.13333333333;	0.0;	35.06666666666667;	3.2;	3.533333333333333
