Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1377986608;	1;	2599.999301;	0.0;	0.0;	522240.0;	12581.6;	0.0;	0.0;	3.466666666666667;	3.933333333333333
1377986908;	1;	2599.999301;	0.0;	0.0;	522240.0;	12232.0;	0.0;	0.0;	1.2666666666666666;	1.4
1377987208;	1;	2599.999301;	0.0;	0.0;	522240.0;	12930.133333333333;	0.0;	0.0;	1.9333333333333333;	2.1333333333333333
1377987508;	1;	2599.999301;	0.0;	0.0;	522240.0;	18172.533333333333;	0.0;	0.3333333333333333;	2.1333333333333333;	2.6
1377987808;	1;	2599.999301;	0.0;	0.0;	522240.0;	13629.6;	0.0;	0.0;	2.6666666666666665;	2.933333333333333
1377988108;	1;	2599.999301;	0.0;	0.0;	522240.0;	10484.0;	0.0;	0.0;	2.066666666666667;	2.3333333333333335
1377988408;	1;	2599.999301;	0.0;	0.0;	522240.0;	15376.266666666666;	0.0;	0.0;	2.533333333333333;	3.0
1377988708;	1;	2599.999301;	0.0;	0.0;	522240.0;	5939.2;	0.0;	0.0;	2.1333333333333333;	2.4
1377989008;	1;	2599.999301;	0.0;	0.0;	522240.0;	7337.6;	0.0;	0.0;	2.533333333333333;	2.8666666666666667
1377989309;	1;	2599.999301;	0.0;	0.0;	522240.0;	6988.0;	0.0;	0.0;	2.2;	2.6
1377989609;	1;	2599.999301;	0.0;	0.0;	522240.0;	8736.0;	0.0;	0.0;	2.533333333333333;	2.933333333333333
1377989909;	1;	2599.999301;	0.0;	0.0;	522240.0;	15377.866666666667;	0.0;	0.2;	2.0;	2.3333333333333335
1377990209;	1;	2599.999301;	0.0;	0.0;	522240.0;	10134.4;	0.0;	0.0;	3.3333333333333335;	3.8666666666666667
1377990509;	1;	2599.999301;	0.0;	0.0;	522240.0;	14679.2;	0.0;	0.0;	2.2;	2.6
1377990809;	1;	2599.999301;	0.0;	0.0;	522240.0;	17824.266666666666;	0.0;	0.0;	2.4;	2.8666666666666667
1377991109;	1;	2599.999301;	0.0;	0.0;	522240.0;	18872.533333333333;	0.0;	0.13333333333333333;	2.2666666666666666;	2.6666666666666665
1377991409;	1;	2599.999301;	0.0;	0.0;	522240.0;	16424.8;	0.0;	0.0;	2.4;	2.933333333333333
1377991709;	1;	2599.999301;	0.0;	0.0;	522240.0;	17473.866666666665;	0.0;	0.0;	2.1333333333333333;	2.3333333333333335
1377992009;	1;	2599.999301;	0.0;	0.0;	522240.0;	16774.4;	0.0;	0.0;	2.6666666666666665;	3.066666666666667
1377992309;	1;	2599.999301;	0.0;	0.0;	522240.0;	11182.133333333333;	0.0;	0.0;	1.5333333333333334;	1.9333333333333333
1377992609;	1;	2599.999301;	0.0;	0.0;	522240.0;	10833.6;	0.0;	0.0;	3.0;	3.533333333333333
1377992909;	1;	2599.999301;	0.0;	0.0;	522240.0;	6739.428571428572;	0.0;	0.0;	1.5714285714285714;	2.0
1377993209;	1;	2599.999301;	0.0;	0.0;	522240.0;	8036.8;	0.0;	0.0;	2.4;	2.8666666666666667
1377993509;	1;	2599.999301;	0.0;	0.0;	522240.0;	10134.4;	0.0;	0.2;	1.4666666666666666;	1.8
1377993809;	1;	2599.999301;	0.0;	0.0;	522240.0;	6288.8;	0.0;	0.0;	3.4;	3.8666666666666667
1377994109;	1;	2599.999301;	0.0;	0.0;	522240.0;	7687.2;	0.0;	0.0;	2.066666666666667;	2.466666666666667
1377994409;	1;	2599.999301;	0.0;	0.0;	522240.0;	10134.4;	0.0;	0.0;	2.466666666666667;	2.8
1377994709;	1;	2599.999301;	0.0;	0.0;	522240.0;	10484.0;	0.0;	0.13333333333333333;	2.3333333333333335;	2.7333333333333334
1377995009;	1;	2599.999301;	0.0;	0.0;	522240.0;	10484.8;	0.0;	0.0;	2.3333333333333335;	2.8666666666666667
1377995309;	1;	2599.999301;	0.0;	0.0;	522240.0;	6638.933333333333;	0.0;	0.0;	2.2;	2.466666666666667
1377995609;	1;	2599.999301;	0.0;	0.0;	522240.0;	8736.0;	0.0;	0.0;	3.066666666666667;	3.4
1377995909;	1;	2599.999301;	0.0;	0.0;	522240.0;	8386.4;	0.0;	0.0;	1.5333333333333334;	1.9333333333333333
1377996209;	1;	2599.999301;	0.0;	0.0;	522240.0;	14677.6;	0.0;	0.0;	2.4;	2.8
1377996509;	1;	2599.999301;	0.0;	0.0;	522240.0;	15377.333333333334;	0.0;	0.0;	1.5333333333333334;	2.0
