Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1377986608;	1;	2925.999428;	56.56932227466667;	1.9333333333333333;	4177920.0;	416632.0;	5.133333333333333;	83.0;	9.8;	19.0
1377986908;	1;	2925.999428;	23.407995424;	0.8;	4177920.0;	598385.0666666667;	0.0;	101.93333333333334;	0.7333333333333333;	0.8666666666666667
1377987208;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	402650.93333333335;	0.0;	77.2;	9.466666666666667;	19.0
1377987508;	1;	2925.999428;	19.50666285333334;	0.6666666666666667;	4177920.0;	383078.6666666667;	0.0;	37.46666666666667;	0.7333333333333333;	0.8666666666666667
1377987808;	1;	2925.999428;	52.667989704;	1.8;	4177920.0;	383077.6;	0.0;	78.06666666666668;	9.466666666666667;	19.0
1377988108;	1;	2925.999428;	17.555996568;	0.6;	4177920.0;	352319.2;	0.0;	40.0;	0.7333333333333333;	0.8666666666666667
1377988408;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	466963.73333333334;	0.0;	73.26666666666668;	9.466666666666667;	19.0
1377988708;	1;	2925.999428;	21.457329138666665;	0.7333333333333333;	4177920.0;	363504.0;	0.0;	42.733333333333334;	0.7333333333333333;	0.8666666666666667
1377989008;	1;	2925.999428;	52.667989704;	1.8;	4177920.0;	439001.6;	0.0;	76.46666666666667;	9.533333333333333;	19.0
1377989309;	1;	2925.999428;	17.555996568;	0.6;	4177920.0;	411039.73333333334;	0.0;	37.06666666666667;	0.8;	0.8666666666666667
1377989609;	1;	2925.999428;	52.667989704;	1.8;	4177920.0;	405446.6666666667;	0.0;	78.06666666666666;	9.466666666666667;	19.0
1377989909;	1;	2925.999428;	17.555996568;	0.6;	4177920.0;	371892.8;	0.0;	40.333333333333336;	0.7333333333333333;	0.8666666666666667
1377990209;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	433409.6;	0.0;	74.06666666666668;	9.466666666666667;	19.0
1377990509;	1;	2925.999428;	23.407995424;	0.8;	4177920.0;	422225.06666666665;	0.0;	346.06666666666666;	0.7333333333333333;	0.8666666666666667
1377990809;	1;	2925.999428;	56.56932227466667;	1.9333333333333333;	4177920.0;	397058.6666666667;	0.0;	76.8;	9.466666666666667;	19.0
1377991109;	1;	2925.999428;	17.555996568;	0.6;	4177920.0;	391466.4;	0.0;	38.0;	0.7333333333333333;	0.8666666666666667
1377991409;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	343931.2;	0.0;	77.53333333333335;	9.466666666666667;	19.0
1377991709;	1;	2925.999428;	17.555996568;	0.6;	4177920.0;	441797.86666666664;	0.0;	39.6;	0.8;	0.8666666666666667
1377992009;	1;	2925.999428;	52.667989704;	1.8;	4177920.0;	310376.5333333333;	0.0;	74.33333333333333;	9.466666666666667;	19.0
1377992309;	1;	2925.999428;	21.457329138666665;	0.7333333333333333;	4177920.0;	469760.8;	4.066666666666666;	42.46666666666667;	0.7333333333333333;	0.8666666666666667
1377992609;	1;	2925.999428;	52.667989704;	1.8;	4177920.0;	500518.13333333336;	0.0;	77.06666666666668;	9.466666666666667;	19.0
1377992909;	1;	2925.999428;	17.555996568;	0.6;	4177920.0;	486537.06666666665;	0.0;	37.53333333333333;	0.7333333333333333;	0.8666666666666667
1377993209;	1;	2925.999428;	50.71732341866667;	1.7333333333333334;	4177920.0;	324357.86666666664;	0.0;	77.86666666666667;	9.466666666666667;	19.0
1377993509;	1;	2925.999428;	17.555996568;	0.6;	4177920.0;	419428.26666666666;	0.0;	39.6;	0.7333333333333333;	0.8666666666666667
1377993809;	1;	2925.999428;	50.71732341866667;	1.7333333333333334;	4177920.0;	419428.26666666666;	0.0;	75.13333333333333;	9.466666666666667;	19.0
1377994109;	1;	2925.999428;	21.457329138666665;	0.7333333333333333;	4177920.0;	405447.4666666667;	0.0;	41.800000000000004;	0.8;	0.8666666666666667
1377994409;	1;	2925.999428;	74.12531884266667;	2.533333333333333;	4177920.0;	475352.5333333333;	0.5333333333333333;	186.0;	9.666666666666666;	19.266666666666666
1377994709;	1;	2925.999428;	17.555996568;	0.6;	4177920.0;	573218.4;	0.0;	37.333333333333336;	0.7333333333333333;	0.8666666666666667
1377995009;	1;	2925.999428;	52.667989704;	1.8;	4177920.0;	357912.26666666666;	0.0;	77.93333333333334;	9.466666666666667;	19.0
1377995309;	1;	2925.999428;	23.407995424;	0.8;	4177920.0;	371893.6;	0.0;	39.6;	0.7333333333333333;	0.8666666666666667
1377995609;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	452982.13333333336;	0.0;	74.66666666666666;	9.466666666666667;	19.0
1377995909;	1;	2925.999428;	23.407995424;	0.8;	4177920.0;	492129.3333333333;	0.0;	43.33333333333333;	0.7333333333333333;	0.8666666666666667
1377996209;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	444593.86666666664;	0.0;	76.46666666666667;	9.466666666666667;	19.0
1377996509;	1;	2925.999428;	23.407995424;	0.8;	4177920.0;	394262.93333333335;	0.0;	37.333333333333336;	0.7333333333333333;	0.8666666666666667
1377996809;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	478149.3333333333;	0.0;	77.6;	9.533333333333333;	19.0
1377997109;	1;	2925.999428;	23.407995424;	0.8;	4177920.0;	430613.3333333333;	0.0;	40.2;	0.7333333333333333;	0.8666666666666667
1377997409;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	500518.13333333336;	0.0;	74.0;	9.466666666666667;	19.0
1377997709;	1;	2925.999428;	25.358661709333337;	0.8666666666666667;	4177920.0;	444594.4;	0.0;	43.0;	0.7333333333333333;	0.8666666666666667
1377998009;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	355117.06666666665;	0.0;	76.4;	9.466666666666667;	19.0
1377998310;	1;	2925.999428;	23.407995424;	0.8;	4177920.0;	472556.5333333333;	0.0;	36.6;	0.7333333333333333;	0.8666666666666667
1377998610;	1;	2925.999428;	52.667989704;	1.8;	4177920.0;	436205.6;	0.0;	78.4;	9.466666666666667;	19.0
1377998910;	1;	2925.999428;	21.457329138666665;	0.7333333333333333;	4177920.0;	411039.4666666667;	0.0;	40.266666666666666;	0.7333333333333333;	0.8666666666666667
1377999210;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	452982.4;	0.0;	73.2;	9.533333333333333;	19.0
1377999510;	1;	2925.999428;	21.457329138666665;	0.7333333333333333;	4177920.0;	380282.13333333336;	0.0;	42.6;	0.8;	0.8666666666666667
1377999810;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	517295.73333333334;	0.0;	76.19999999999999;	9.466666666666667;	19.0
1378000110;	1;	2925.999428;	23.407995424;	0.8;	4177920.0;	385874.4;	0.0;	38.0;	0.7333333333333333;	0.8666666666666667
1378000410;	1;	2925.999428;	52.667989704;	1.8;	4177920.0;	363505.06666666665;	0.0;	77.46666666666667;	9.466666666666667;	19.0
1378000710;	1;	2925.999428;	21.457329138666665;	0.7333333333333333;	4177920.0;	469760.0;	0.0;	39.93333333333334;	0.7333333333333333;	0.8666666666666667
1378001010;	1;	2925.999428;	78.02665141333335;	2.666666666666667;	4177920.0;	313173.06666666665;	17.666666666666668;	116.66666666666667;	9.533333333333333;	19.666666666666668
1378001310;	1;	2925.999428;	25.358661709333337;	0.8666666666666667;	4177920.0;	360708.0;	0.0;	42.2;	0.7333333333333333;	0.8666666666666667
1378001610;	1;	2925.999428;	72.17465255733333;	2.466666666666667;	4177920.0;	413836.5333333333;	180.0;	275.2;	9.533333333333333;	19.0
1378001910;	1;	2925.999428;	124.84264226133332;	4.266666666666667;	4177920.0;	578812.0;	384.1333333333333;	44.733333333333334;	0.8;	1.0
1378002210;	1;	2925.999428;	489.6172376186667;	16.733333333333334;	4177920.0;	469760.0;	133.73333333333332;	83.13333333333333;	9.466666666666667;	19.0
1378002510;	1;	2925.999428;	265.2906148053333;	9.066666666666666;	4177920.0;	536868.8;	9.4;	43.2;	0.8666666666666667;	1.1333333333333333
1378002810;	1;	2925.999428;	52.667989704;	1.8;	4177920.0;	419429.6;	0.0;	73.33333333333334;	9.466666666666667;	19.0
1378003110;	1;	2925.999428;	25.358661709333337;	0.8666666666666667;	4177920.0;	494926.4;	0.0;	43.66666666666667;	0.7333333333333333;	0.8666666666666667
1378003410;	1;	2925.999428;	60.47065484533333;	2.0666666666666664;	4177920.0;	391466.4;	5.0;	140.0666666666667;	81.66666666666667;	21.266666666666666
1378003710;	1;	2925.999428;	528.6305633253334;	18.066666666666666;	4177920.0;	629142.4;	550.3333333333334;	587.0666666666666;	56.93333333333333;	26.733333333333334
1378004010;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	645920.8;	0.0;	77.93333333333332;	9.466666666666667;	19.0
1378004310;	1;	2925.999428;	17.555996568;	0.6;	4177920.0;	444594.4;	0.0;	40.33333333333333;	0.8;	0.8666666666666667
1378004610;	1;	2925.999428;	64.37198741600001;	2.2;	4177920.0;	380281.3333333333;	3.7333333333333334;	76.33333333333334;	9.6;	19.0
1378004910;	1;	2925.999428;	23.407995424;	0.8;	4177920.0;	469760.0;	0.0;	42.33333333333333;	0.7333333333333333;	0.8666666666666667
1378005210;	1;	2925.999428;	52.667989704;	1.8;	4177920.0;	436205.6;	0.0;	77.0;	9.466666666666667;	19.0
1378005510;	1;	2925.999428;	19.50666285333334;	0.6666666666666667;	4177920.0;	411039.2;	0.0;	36.86666666666667;	0.7333333333333333;	0.8666666666666667
1378005810;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	405447.73333333334;	0.0;	78.53333333333333;	9.466666666666667;	19.0
1378006110;	1;	2925.999428;	19.50666285333334;	0.6666666666666667;	4177920.0;	447391.2;	0.0;	40.199999999999996;	0.7333333333333333;	0.8666666666666667
1378006410;	1;	2925.999428;	52.667989704;	1.8;	4177920.0;	441798.4;	0.0;	73.60000000000001;	9.466666666666667;	19.0
1378006711;	1;	2925.999428;	21.457329138666665;	0.7333333333333333;	4177920.0;	343930.93333333335;	0.0;	43.13333333333333;	0.7333333333333333;	0.8666666666666667
1378007011;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	366300.8;	0.0;	76.33333333333333;	9.533333333333333;	19.0
1378007311;	1;	2925.999428;	23.407995424;	0.8;	4177920.0;	394262.13333333336;	0.0;	37.0;	0.7333333333333333;	0.8666666666666667
1378007611;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	439001.3333333333;	0.0;	77.8;	9.466666666666667;	19.0
1378007911;	1;	2925.999428;	19.50666285333334;	0.6666666666666667;	4177920.0;	408243.4666666667;	0.0;	40.33333333333333;	0.7333333333333333;	0.8666666666666667
1378008211;	1;	2925.999428;	54.61865598933333;	1.8666666666666665;	4177920.0;	307580.5333333333;	0.0;	74.26666666666667;	9.466666666666667;	19.0
1378008511;	1;	2925.999428;	17.555996568;	0.6;	4177920.0;	422224.26666666666;	0.0;	42.06666666666666;	0.7333333333333333;	0.8666666666666667
1378008811;	1;	2925.999428;	52.667989704;	1.8;	4177920.0;	422225.06666666665;	0.0;	258.6666666666667;	9.466666666666667;	19.0
1378009111;	1;	2925.999428;	21.457329138666665;	0.7333333333333333;	4177920.0;	324356.5333333333;	0.0;	38.0;	0.7333333333333333;	0.8666666666666667
