Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1377986608;	4;	10399.995944;	539.0664564306667;	5.183333333333334;	1.6777216E7;	391468.0;	0.0;	17.599999999999998;	531.1333333333333;	437.46666666666664
1377986908;	4;	10399.995944;	540.799789088;	5.2;	1.6777216E7;	458576.8;	0.0;	18.333333333333336;	542.8;	474.93333333333334
1377987208;	4;	10399.995944;	542.5331217453332;	5.216666666666666;	1.6777216E7;	436207.2;	0.0;	20.666666666666668;	541.6666666666666;	504.46666666666664
1377987508;	4;	10399.995944;	544.2664544026667;	5.233333333333333;	1.6777216E7;	436207.2;	0.0;	20.599999999999998;	536.8666666666667;	475.8666666666667
1377987808;	4;	10399.995944;	540.799789088;	5.2;	1.6777216E7;	380283.2;	0.0;	20.73333333333333;	538.1333333333333;	445.8666666666667
1377988108;	4;	10399.995944;	545.99978706;	5.25;	1.6777216E7;	369098.4;	0.0;	27.26666666666667;	539.4;	443.3333333333333
1377988408;	4;	10399.995944;	750.5330406253332;	7.216666666666666;	1.6777216E7;	905968.8;	3.066666666666667;	25.8;	529.9333333333333;	436.6666666666667
1377988708;	4;	10399.995944;	544.2664544026667;	5.233333333333333;	1.6777216E7;	816490.4;	0.0;	57.4;	537.0666666666667;	442.2
1377989008;	4;	10399.995944;	547.7331197173334;	5.266666666666667;	1.6777216E7;	525685.6;	0.06666666666666667;	25.4;	535.2666666666667;	496.6666666666667
1377989309;	4;	10399.995944;	549.4664523746668;	5.283333333333334;	1.6777216E7;	436207.2;	0.0;	34.06666666666667;	544.6;	483.4
1377989609;	4;	10399.995944;	565.0664462906667;	5.433333333333334;	1.6777216E7;	525685.6;	245.06666666666666;	286.40000000000003;	540.4;	476.93333333333334
1377989909;	4;	10399.995944;	539.0664564306667;	5.183333333333334;	1.6777216E7;	357913.6;	0.06666666666666667;	24.8;	531.1333333333333;	461.8666666666667
1377990209;	4;	10399.995944;	533.8664584586668;	5.133333333333334;	1.6777216E7;	469761.6;	0.0;	39.733333333333334;	538.6666666666666;	502.06666666666666
1377990509;	4;	10399.995944;	539.0664564306667;	5.183333333333334;	1.6777216E7;	536870.4;	0.0;	35.733333333333334;	529.5333333333333;	554.4666666666667
1377990809;	4;	10399.995944;	535.599791116;	5.15;	1.6777216E7;	257250.4;	0.0;	34.53333333333333;	525.2666666666667;	534.7333333333333
