Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1375308176;	1;	2399.999679;	1865.5997504759998;	77.73333333333333;	3143680.0;	637532.5333333333;	8.066666666666666;	320.73333333333335;	274.26666666666665;	20.533333333333335
1375308476;	1;	2399.999679;	2268.799696548;	94.53333333333335;	3143680.0;	975872.2666666667;	0.0;	303.6666666666667;	287.73333333333335;	16.733333333333334
1375308776;	1;	2399.999679;	1916.7997436280002;	79.86666666666667;	3143680.0;	721418.4;	0.0;	315.4;	60.266666666666666;	36.0
1375309076;	1;	2399.999679;	1657.5997782959998;	69.06666666666666;	3143680.0;	497721.6;	0.0;	286.1333333333334;	41.46666666666667;	23.0
1375309376;	1;	2399.999679;	1092.799853838;	45.53333333333333;	3143680.0;	402650.93333333335;	0.0;	321.40000000000003;	22.466666666666665;	16.0
1375309676;	1;	2399.999679;	1447.99980633;	60.33333333333333;	3143680.0;	492129.6;	0.0;	402.1333333333333;	22.533333333333335;	19.733333333333334
1375309976;	1;	2399.999679;	1046.399860044;	43.6;	3143680.0;	464167.2;	0.0;	324.3333333333333;	21.733333333333334;	15.533333333333333
1375310276;	1;	2399.999679;	1031.99986197;	43.0;	3143680.0;	383077.86666666664;	0.0;	275.1333333333333;	21.666666666666668;	15.533333333333333
1375310576;	1;	2399.999679;	972.799869888;	40.53333333333333;	3143680.0;	391465.6;	0.0;	389.8666666666667;	21.666666666666668;	15.533333333333333
1375310876;	1;	2399.999679;	1326.3998225940002;	55.26666666666667;	3143680.0;	439001.86666666664;	3.1333333333333333;	390.06666666666666;	21.533333333333335;	36.266666666666666
1375311176;	1;	2399.999679;	1097.599853196;	45.73333333333333;	3143680.0;	408243.73333333334;	0.0;	342.3333333333333;	21.866666666666667;	15.6
1375311476;	1;	2399.999679;	1039.9998609;	43.33333333333333;	3143680.0;	349523.2;	0.0;	298.66666666666663;	22.333333333333332;	15.866666666666667
1375311776;	1;	2399.999679;	1763.199764172;	73.46666666666667;	3143680.0;	581608.0;	0.5333333333333333;	276.93333333333334;	260.4;	19.4
1375312076;	1;	2399.999679;	2355.199684992;	98.13333333333334;	3143680.0;	905968.8;	0.0;	339.4;	300.8;	16.333333333333332
1375312376;	1;	2399.999679;	1919.9997432;	80.0;	3143680.0;	740991.7333333333;	0.0;	289.0;	60.333333333333336;	36.06666666666667
1375312676;	1;	2399.999679;	1465.5998039760002;	61.06666666666667;	3143680.0;	595588.8;	0.0;	317.0;	38.266666666666666;	21.2
1375312976;	1;	2399.999679;	1147.199846562;	47.8;	3143680.0;	489333.6;	0.0;	419.33333333333337;	22.066666666666666;	15.6
1375313276;	1;	2399.999679;	1430.3998086840002;	59.6;	3143680.0;	439001.86666666664;	0.0;	360.5333333333333;	22.533333333333335;	19.533333333333335
1375313576;	1;	2399.999679;	1068.799857048;	44.53333333333333;	3143680.0;	427817.06666666665;	0.0;	322.79999999999995;	21.866666666666667;	15.533333333333333
1375313876;	1;	2399.999679;	1020.799863468;	42.53333333333333;	3143680.0;	296395.4666666667;	0.0;	364.8666666666667;	22.266666666666666;	15.733333333333333
1375314176;	1;	2399.999679;	1059.199858332;	44.13333333333333;	3143680.0;	324357.6;	0.0;	296.73333333333335;	21.533333333333335;	15.333333333333334
1375314476;	1;	2399.999679;	1067.199857262;	44.46666666666667;	3143680.0;	399855.4666666667;	0.0;	298.8666666666667;	21.8;	15.666666666666666
1375314776;	1;	2399.999679;	1083.199855122;	45.13333333333333;	3143680.0;	419428.8;	0.0;	344.73333333333335;	22.066666666666666;	15.733333333333333
1375315076;	1;	2399.999679;	1023.99986304;	42.66666666666667;	3143680.0;	338339.4666666667;	0.0;	346.46666666666664;	21.6;	15.4
1375315376;	1;	2399.999679;	1734.399768024;	72.26666666666667;	3143680.0;	562034.1333333333;	0.0;	268.4;	260.2;	20.266666666666666
1375315676;	1;	2399.999679;	2300.799692268;	95.86666666666666;	3143680.0;	1040185.8666666667;	0.0;	333.0;	302.3333333333333;	17.4
1375315977;	1;	2399.999679;	1851.1997524019998;	77.13333333333333;	3143680.0;	766157.6;	0.0;	324.3333333333333;	60.733333333333334;	36.13333333333333
1375316277;	1;	2399.999679;	1583.99978814;	66.0;	3143680.0;	478148.8;	0.0;	332.8;	40.8;	22.733333333333334
1375316577;	1;	2399.999679;	1127.99984913;	47.0;	3143680.0;	422224.26666666666;	0.0;	301.06666666666666;	21.733333333333334;	15.666666666666666
1375316877;	1;	2399.999679;	1467.1998037619999;	61.13333333333333;	3143680.0;	391465.3333333333;	0.0;	365.4666666666667;	22.2;	19.533333333333335
1375317177;	1;	2399.999679;	1047.99985983;	43.66666666666667;	3143680.0;	346727.2;	0.0;	362.8;	22.266666666666666;	15.8
1375317477;	1;	2399.999679;	1060.7998581180002;	44.2;	3143680.0;	260044.8;	0.0;	398.2666666666667;	22.066666666666666;	15.733333333333333
1375317777;	1;	2399.999679;	1086.3998546940002;	45.26666666666667;	3143680.0;	279618.6666666667;	0.06666666666666667;	405.06666666666666;	21.4;	15.4
1375318077;	1;	2399.999679;	1068.799857048;	44.53333333333333;	3143680.0;	313172.8;	0.0;	365.0;	22.133333333333333;	15.866666666666667
1375318377;	1;	2399.999679;	1105.599852126;	46.06666666666667;	3143680.0;	430612.5333333333;	0.0;	342.8666666666666;	21.266666666666666;	15.2
1375318677;	1;	2399.999679;	1089.599854266;	45.4;	3143680.0;	360708.8;	0.0;	275.3333333333333;	21.866666666666667;	15.666666666666666
1375318977;	1;	2399.999679;	1727.9997688800001;	72.0;	3143680.0;	553646.1333333333;	0.0;	278.53333333333336;	260.0;	20.2
1375319277;	1;	2399.999679;	2403.1996785720003;	100.13333333333334;	3143680.0;	880802.1333333333;	1.0;	326.0;	298.2;	14.466666666666667
1375319577;	1;	2399.999679;	2036.7997275779999;	84.86666666666666;	3143680.0;	754972.8;	1.9333333333333331;	320.93333333333334;	54.266666666666666;	30.8
1375319877;	1;	2399.999679;	1899.1997459819997;	79.13333333333333;	3143680.0;	536868.8;	0.33333333333333337;	325.53333333333336;	48.06666666666667;	28.533333333333335
1375320177;	1;	2399.999679;	1406.399811894;	58.6;	3143680.0;	430612.8;	0.0;	342.3333333333333;	24.866666666666667;	17.333333333333332
1375320477;	1;	2399.999679;	1601.5997857860002;	66.73333333333333;	3143680.0;	383077.86666666664;	0.0;	455.0;	23.0;	19.733333333333334
1375320777;	1;	2399.999679;	1062.399857904;	44.26666666666667;	3143680.0;	394262.93333333335;	0.0;	353.2;	22.0;	15.8
1375321077;	1;	2399.999679;	1065.5998574760001;	44.4;	3143680.0;	335544.0;	0.0;	313.6666666666667;	21.933333333333334;	15.533333333333333
1375321377;	1;	2399.999679;	1091.199854052;	45.46666666666667;	3143680.0;	329951.4666666667;	0.0;	294.8666666666667;	21.533333333333335;	15.466666666666667
1375321677;	1;	2399.999679;	1055.99985876;	44.0;	3143680.0;	391466.13333333336;	0.0;	356.73333333333335;	21.733333333333334;	15.466666666666667
1375321977;	1;	2399.999679;	1065.5998574760001;	44.4;	3143680.0;	374689.06666666665;	0.0;	322.2;	21.666666666666668;	15.6
1375322277;	1;	2399.999679;	1052.799859188;	43.86666666666667;	3143680.0;	366300.26666666666;	0.0;	365.53333333333336;	21.866666666666667;	15.6
1375322577;	1;	2399.999679;	1665.5997772260002;	69.4;	3143680.0;	573218.9333333333;	29.066666666666666;	303.4666666666667;	258.46666666666664;	19.2
1375322877;	1;	2399.999679;	2387.199680712;	99.46666666666665;	3143680.0;	891986.1333333333;	0.3333333333333333;	285.4666666666667;	300.8;	16.466666666666665
