Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1375308176;	2;	5851.999032;	179.46130364799998;	3.066666666666667;	8357888.0;	1358952.0;	0.0;	52.666666666666664;	8.4;	28.533333333333335
1375308476;	2;	5851.999032;	183.362636336;	3.1333333333333333;	8357888.0;	1224733.6;	0.0;	47.73333333333334;	6.333333333333333;	20.866666666666667
1375308776;	2;	5851.999032;	187.263969024;	3.2;	8357888.0;	1241512.0;	0.0;	50.599999999999994;	8.533333333333333;	28.8
1375309076;	2;	5851.999032;	214.57329784;	3.666666666666667;	8357888.0;	1498762.4;	0.0;	51.80000000000001;	6.6;	21.133333333333333
1375309376;	2;	5851.999032;	185.31330268000002;	3.166666666666667;	8357888.0;	1621794.6666666667;	0.0;	48.06666666666666;	8.6;	28.0
1375309676;	2;	5851.999032;	185.31330268000002;	3.166666666666667;	8357888.0;	1152034.4;	0.0;	49.33333333333333;	6.666666666666667;	20.866666666666667
1375309976;	2;	5851.999032;	206.77063246399996;	3.533333333333333;	8357888.0;	1364544.8;	0.0;	49.333333333333336;	8.533333333333333;	27.866666666666667
1375310276;	2;	5851.999032;	185.31330268000002;	3.166666666666667;	8357888.0;	1370136.5333333334;	0.0;	47.333333333333336;	6.4;	20.333333333333332
1375310576;	2;	5851.999032;	181.41196999200002;	3.1;	8357888.0;	1409284.2666666666;	0.0;	51.266666666666666;	8.6;	28.6
1375310876;	2;	5851.999032;	185.31330268000002;	3.166666666666667;	8357888.0;	1163217.3333333333;	0.0;	50.39999999999999;	6.466666666666667;	20.6
1375311176;	2;	5851.999032;	191.165301712;	3.266666666666667;	8357888.0;	1168810.6666666667;	0.0;	51.0;	8.6;	27.8
1375311476;	2;	5851.999032;	171.658638272;	2.933333333333333;	8357888.0;	1174402.1333333333;	0.0;	49.4;	6.6;	20.733333333333334
1375311776;	2;	5851.999032;	189.214635368;	3.233333333333333;	8357888.0;	1124071.4666666666;	0.0;	52.66666666666667;	8.4;	28.333333333333332
1375312076;	2;	5851.999032;	187.263969024;	3.2;	8357888.0;	1196772.5333333334;	0.0;	48.66666666666667;	6.733333333333333;	21.4
1375312376;	2;	5851.999032;	202.86929977600002;	3.466666666666667;	8357888.0;	1040184.8;	0.0;	47.53333333333334;	8.6;	27.933333333333334
1375312676;	2;	5851.999032;	195.06663439999997;	3.333333333333333;	8357888.0;	1112886.6666666667;	0.0;	53.4;	6.266666666666667;	20.4
1375312976;	2;	5851.999032;	200.91863343199998;	3.433333333333333;	8357888.0;	1347768.0;	0.0;	48.4;	8.866666666666667;	28.533333333333335
1375313276;	2;	5851.999032;	177.51063730399997;	3.033333333333333;	8357888.0;	1454023.2;	0.0;	45.66666666666667;	6.533333333333333;	20.6
1375313576;	2;	5851.999032;	202.86929977600002;	3.466666666666667;	8357888.0;	1045778.6666666666;	0.0;	46.86666666666667;	8.8;	28.6
1375313876;	2;	5851.999032;	198.96796708799997;	3.4;	8357888.0;	1157626.1333333333;	0.0;	47.26666666666667;	6.2;	20.4
1375314176;	2;	5851.999032;	185.31330268000002;	3.166666666666667;	8357888.0;	1096109.0666666667;	0.0;	49.266666666666666;	8.2;	28.466666666666665
1375314476;	2;	5851.999032;	175.55997096;	3.0;	8357888.0;	1191180.8;	0.0;	48.33333333333334;	6.2;	20.933333333333334
1375314776;	2;	5851.999032;	183.362636336;	3.1333333333333333;	8357888.0;	1280659.2;	0.0;	49.66666666666667;	8.666666666666666;	28.333333333333332
1375315076;	2;	5851.999032;	171.658638272;	2.933333333333333;	8357888.0;	1336582.1333333333;	0.0;	48.93333333333333;	6.533333333333333;	20.4
1375315376;	2;	5851.999032;	399.88660052;	6.833333333333334;	8357888.0;	1258288.5333333334;	0.0;	59.26666666666668;	27.466666666666665;	42.2
1375315676;	2;	5851.999032;	317.958614072;	5.433333333333334;	8357888.0;	1560278.6666666667;	0.0;	62.93333333333333;	6.6;	20.866666666666667
1375315977;	2;	5851.999032;	183.362636336;	3.1333333333333333;	8357888.0;	1493169.6;	0.0;	47.6;	8.6;	29.066666666666666
1375316277;	2;	5851.999032;	197.01730074399998;	3.3666666666666667;	8357888.0;	1308620.8;	0.0;	49.53333333333334;	6.6;	21.333333333333332
1375316577;	2;	5851.999032;	179.46130364799998;	3.066666666666667;	8357888.0;	1191180.0;	0.0;	49.333333333333336;	7.866666666666666;	28.2
1375316877;	2;	5851.999032;	181.41196999200002;	3.1;	8357888.0;	1140848.8;	0.0;	44.86666666666667;	6.333333333333333;	20.8
1375317177;	2;	5851.999032;	177.51063730399997;	3.033333333333333;	8357888.0;	1191180.8;	0.0;	44.733333333333334;	8.266666666666667;	28.066666666666666
1375317477;	2;	5851.999032;	185.31330268000002;	3.166666666666667;	8357888.0;	1140848.5333333334;	0.0;	50.0;	6.4;	21.0
1375317777;	2;	5851.999032;	173.609304616;	2.966666666666667;	8357888.0;	1023408.2666666667;	0.0;	48.66666666666667;	7.6;	28.866666666666667
1375318077;	2;	5851.999032;	171.658638272;	2.933333333333333;	8357888.0;	1179994.9333333333;	0.0;	46.666666666666664;	6.466666666666667;	20.466666666666665
1375318377;	2;	5851.999032;	177.51063730399997;	3.033333333333333;	8357888.0;	1068147.4666666666;	0.0;	49.6;	8.6;	28.333333333333332
1375318677;	2;	5851.999032;	183.362636336;	3.1333333333333333;	8357888.0;	1207956.5333333334;	0.0;	49.400000000000006;	6.666666666666667;	20.8
1375318977;	2;	5851.999032;	2531.964914512;	43.26666666666667;	8357888.0;	1823121.8666666667;	0.0;	1707.2;	784.4;	76.06666666666666
1375319277;	2;	5851.999032;	5440.408433415999;	92.96666666666665;	8357888.0;	3478473.6;	0.0;	4576.4;	1533.2666666666667;	106.66666666666667
1375319577;	2;	5851.999032;	5545.7444159920005;	94.76666666666667;	8357888.0;	3282739.7333333334;	0.0;	5036.733333333333;	1112.3333333333333;	103.66666666666667
1375319877;	2;	5851.999032;	5329.220451807999;	91.06666666666666;	8357888.0;	3416956.8;	0.0;	5012.866666666667;	1607.2666666666667;	104.86666666666666
1375320177;	2;	5851.999032;	4090.5473233680004;	69.9;	8357888.0;	3293924.0;	0.0;	3501.6666666666665;	1037.6666666666667;	64.0
1375320477;	2;	5851.999032;	181.41196999200002;	3.1;	8357888.0;	2622836.8;	0.0;	87.73333333333335;	6.466666666666667;	21.0
1375320777;	2;	5851.999032;	169.70797192799998;	2.9;	8357888.0;	1532316.2666666666;	0.0;	69.26666666666668;	8.333333333333334;	28.8
1375321077;	2;	5851.999032;	177.51063730399997;	3.033333333333333;	8357888.0;	1325397.6;	0.0;	61.733333333333334;	6.6;	20.333333333333332
1375321377;	2;	5851.999032;	173.609304616;	2.966666666666667;	8357888.0;	1224734.9333333333;	0.0;	62.599999999999994;	8.333333333333334;	28.266666666666666
1375321677;	2;	5851.999032;	169.70797192799998;	2.9;	8357888.0;	1308621.3333333333;	0.0;	62.6;	6.666666666666667;	20.4
1375321977;	2;	5851.999032;	175.55997096;	3.0;	8357888.0;	1303027.2;	0.0;	46.466666666666676;	8.2;	28.266666666666666
1375322277;	2;	5851.999032;	175.55997096;	3.0;	8357888.0;	1308620.8;	0.0;	50.733333333333334;	6.466666666666667;	21.0
1375322577;	2;	5851.999032;	197.01730074399998;	3.3666666666666667;	8357888.0;	1140848.0;	0.0;	48.46666666666667;	8.666666666666666;	28.4
1375322877;	2;	5851.999032;	202.86929977600002;	3.466666666666667;	8357888.0;	1028999.7333333333;	0.0;	47.333333333333336;	6.6;	20.666666666666668
1375323177;	2;	5851.999032;	224.32662955999996;	3.833333333333333;	8357888.0;	1811937.6;	0.0;	49.53333333333333;	8.6;	28.533333333333335
1375323477;	2;	5851.999032;	341.36661019999997;	5.833333333333334;	8357888.0;	1409284.0;	0.0;	121.13333333333333;	13.4;	21.066666666666666
1375323777;	2;	5851.999032;	185.31330268000002;	3.166666666666667;	8357888.0;	1241511.2;	0.0;	47.400000000000006;	8.4;	28.466666666666665
1375324077;	2;	5851.999032;	183.362636336;	3.1333333333333333;	8357888.0;	1174402.4;	0.0;	45.733333333333334;	6.533333333333333;	20.866666666666667
1375324377;	2;	5851.999032;	181.41196999200002;	3.1;	8357888.0;	1101701.6;	0.0;	48.06666666666667;	8.333333333333334;	28.266666666666666
