Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1375308176;	2;	5199.9986;	133.46663073333335;	2.566666666666667;	8357888.0;	162177.86666666667;	0.0;	213.46153846153845;	9.2;	4.0
1375308476;	2;	5199.9986;	98.7999734;	1.9;	8357888.0;	178955.2;	0.0;	202.57142857142856;	8.933333333333334;	3.933333333333333
1375308776;	2;	5199.9986;	97.06664053333333;	1.8666666666666665;	8357888.0;	195733.06666666668;	0.0;	207.73333333333332;	9.066666666666666;	4.0
1375309076;	2;	5199.9986;	93.5999748;	1.8;	8357888.0;	195733.33333333334;	0.0;	207.66666666666666;	9.066666666666666;	4.0
1375309376;	2;	5199.9986;	100.53330626666666;	1.9333333333333333;	8357888.0;	162179.2;	0.0;	206.8;	8.933333333333334;	3.933333333333333
1375309676;	2;	5199.9986;	93.5999748;	1.8;	8357888.0;	195733.33333333334;	0.0;	207.53333333333333;	9.066666666666666;	4.0
1375309976;	2;	5199.9986;	124.79996639999999;	2.4;	8357888.0;	313173.06666666665;	0.0;	212.66666666666666;	9.0;	3.8666666666666667
1375310276;	2;	5199.9986;	253.06659853333335;	4.866666666666667;	8357888.0;	598385.8666666667;	0.0;	246.86666666666667;	11.133333333333333;	5.866666666666666
1375310576;	2;	5199.9986;	100.53330626666666;	1.9333333333333333;	8357888.0;	1817529.8666666667;	0.0;	209.13333333333333;	18.4;	5.4
1375310876;	2;	5199.9986;	102.26663913333331;	1.9666666666666666;	8357888.0;	447390.6666666667;	0.0;	209.13333333333333;	9.0;	3.8666666666666667
1375311176;	2;	5199.9986;	102.26663913333331;	1.9666666666666666;	8357888.0;	212510.13333333333;	0.0;	209.06666666666666;	9.0;	4.0
1375311476;	2;	5199.9986;	100.53330626666666;	1.9333333333333333;	8357888.0;	190141.06666666668;	0.0;	208.26666666666668;	9.133333333333333;	3.933333333333333
1375311776;	2;	5199.9986;	102.26663913333331;	1.9666666666666666;	8357888.0;	190140.53333333333;	0.0;	210.2;	9.066666666666666;	3.933333333333333
1375312076;	2;	5199.9986;	91.86664193333333;	1.7666666666666666;	8357888.0;	167770.66666666666;	0.0;	207.93333333333334;	8.933333333333334;	3.8666666666666667
1375312376;	2;	5199.9986;	98.7999734;	1.9;	8357888.0;	262842.13333333336;	0.0;	209.93333333333334;	9.133333333333333;	3.8666666666666667
1375312676;	2;	5199.9986;	95.33330766666668;	1.8333333333333335;	8357888.0;	145401.06666666668;	0.0;	209.93333333333334;	9.0;	3.8
1375312976;	2;	5199.9986;	98.7999734;	1.9;	8357888.0;	178956.26666666666;	0.0;	209.53333333333336;	9.266666666666667;	3.8666666666666667
1375313276;	2;	5199.9986;	93.5999748;	1.8;	8357888.0;	128623.73333333334;	0.0;	208.39999999999998;	8.933333333333334;	3.8666666666666667
1375313576;	2;	5199.9986;	126.53329926666667;	2.4333333333333336;	8357888.0;	173363.73333333334;	0.0;	215.66666666666669;	9.066666666666666;	4.0
1375313876;	2;	5199.9986;	91.86664193333333;	1.7666666666666666;	8357888.0;	313173.86666666664;	0.0;	208.46666666666664;	9.0;	4.0
1375314176;	2;	5199.9986;	95.33330766666668;	1.8333333333333335;	8357888.0;	201324.8;	0.0;	210.2;	9.0;	3.933333333333333
1375314476;	2;	5199.9986;	95.33330766666668;	1.8333333333333335;	8357888.0;	156586.4;	0.0;	209.13333333333333;	8.933333333333334;	3.8
1375314776;	2;	5199.9986;	97.06664053333333;	1.8666666666666665;	8357888.0;	251656.0;	0.0;	210.06666666666666;	9.133333333333333;	3.933333333333333
1375315076;	2;	5199.9986;	91.86664193333333;	1.7666666666666666;	8357888.0;	150993.6;	0.0;	209.06666666666666;	9.066666666666666;	3.8
1375315376;	2;	5199.9986;	920.3997522;	17.7;	8357888.0;	866822.4;	7151.466666666667;	258.6;	31.266666666666666;	2256.9333333333334
1375315676;	2;	5199.9986;	1473.3329366666667;	28.333333333333336;	8357888.0;	4462738.4;	10445.533333333333;	309.73333333333335;	62.333333333333336;	5646.8
1375315976;	2;	5199.9986;	1579.0662415333331;	30.366666666666664;	8357888.0;	4580179.2;	13399.666666666666;	268.8666666666667;	53.53333333333333;	4760.8
1375316277;	2;	5199.9986;	2395.4660217333335;	46.06666666666667;	8357888.0;	5402261.333333333;	11716.4;	369.93333333333334;	49.46666666666667;	4068.9333333333334
1375316577;	2;	5199.9986;	3010.7991894;	57.9;	8357888.0;	4591363.2;	11627.999999999998;	275.93333333333334;	58.733333333333334;	5160.8
1375316877;	2;	5199.9986;	1813.0661785333332;	34.86666666666667;	8357888.0;	5139418.666666667;	8477.866666666669;	282.8;	66.06666666666666;	5661.8
1375317177;	2;	5199.9986;	1849.4661687333332;	35.56666666666666;	8357888.0;	4328520.8;	7788.733333333334;	728.8;	73.33333333333333;	6484.533333333334
1375317477;	2;	5199.9986;	1922.2661491333336;	36.96666666666667;	8357888.0;	4373260.266666667;	8104.6;	1455.2666666666667;	70.86666666666666;	6053.066666666667
1375317777;	2;	5199.9986;	2313.999377;	44.5;	8357888.0;	4060084.2666666666;	7026.866666666667;	2143.2;	75.33333333333333;	6178.8
1375318077;	2;	5199.9986;	3170.2658131333337;	60.96666666666667;	8357888.0;	4529846.133333334;	8892.333333333334;	7665.133333333333;	81.66666666666667;	6097.866666666667
1375318377;	2;	5199.9986;	2639.8659559333337;	50.76666666666667;	8357888.0;	4843020.8;	7595.533333333333;	3827.933333333333;	78.2;	6624.666666666667
1375318677;	2;	5199.9986;	2549.7326468666665;	49.03333333333333;	8357888.0;	4513070.4;	7499.0;	3604.4;	78.06666666666666;	6578.266666666666
1375318977;	2;	5199.9986;	2402.3993532000004;	46.2;	8357888.0;	4395629.6;	7125.200000000002;	2387.3333333333335;	75.13333333333334;	6128.6
1375319277;	2;	5199.9986;	2601.7326328666663;	50.03333333333333;	8357888.0;	4155155.466666667;	7665.200000000001;	4308.533333333334;	78.93333333333334;	6512.0
1375319577;	2;	5199.9986;	2308.7993784;	44.4;	8357888.0;	4423590.933333334;	6939.666666666666;	2338.933333333333;	74.8;	6042.066666666667
1375319877;	2;	5199.9986;	2445.7326748666665;	47.03333333333333;	8357888.0;	4020937.6;	7136.733333333333;	2726.4666666666667;	76.66666666666667;	6350.133333333333
1375320177;	2;	5199.9986;	2509.8659909333337;	48.26666666666667;	8357888.0;	4401222.133333334;	7332.800000000001;	2725.333333333333;	75.4;	6169.733333333334
1375320477;	2;	5199.9986;	2442.2660091333332;	46.96666666666667;	8357888.0;	4596955.466666667;	7158.266666666666;	1385.3333333333333;	75.33333333333333;	6237.066666666667
1375320777;	2;	5199.9986;	2220.3994022;	42.7;	8357888.0;	4060083.466666667;	6824.399999999999;	1671.4;	72.4;	5797.8
1375321077;	2;	5199.9986;	2530.6659853333335;	48.66666666666667;	8357888.0;	4143969.6;	7381.933333333332;	2597.0;	78.53333333333333;	6551.8
1375321377;	2;	5199.9986;	2471.7326678666664;	47.53333333333333;	8357888.0;	4596955.2;	7464.2;	3276.7333333333336;	78.66666666666667;	6542.933333333333
1375321677;	2;	5199.9986;	2636.3992902;	50.7;	8357888.0;	4267003.2;	7667.733333333333;	4206.866666666667;	79.73333333333333;	6656.466666666666
1375321977;	2;	5199.9986;	2516.7993224;	48.4;	8357888.0;	4736765.6;	7197.133333333333;	2862.2666666666664;	75.8;	6202.6
1375322277;	2;	5199.9986;	1936.1328120666667;	37.233333333333334;	8357888.0;	4255818.133333334;	5569.666666666666;	956.6666666666666;	67.66666666666667;	4991.066666666667
1375322577;	2;	5199.9986;	2007.1994596000002;	38.6;	8357888.0;	4032122.1333333333;	5674.733333333334;	989.8666666666666;	67.2;	4915.533333333334
1375322877;	2;	5199.9986;	2029.7327868666666;	39.03333333333333;	8357888.0;	3450512.0;	5938.400000000001;	991.3333333333333;	69.26666666666667;	5180.6
1375323177;	2;	5199.9986;	2296.6660483333335;	44.16666666666667;	8357888.0;	3539991.2;	6947.733333333334;	1818.6666666666667;	75.4;	5936.333333333333
1375323477;	2;	5199.9986;	2350.3993672;	45.2;	8357888.0;	4216672.533333333;	6891.866666666665;	2827.0666666666666;	74.0;	5922.733333333334
1375323777;	2;	5199.9986;	2034.9327854666667;	39.13333333333333;	8357888.0;	3819610.6666666665;	5766.333333333333;	1297.8666666666666;	67.73333333333333;	4990.666666666667
1375324077;	2;	5199.9986;	1896.2661561333332;	36.46666666666667;	8357888.0;	3405772.8;	5906.866666666668;	1155.9333333333334;	66.0;	4910.2
1375324377;	2;	5199.9986;	2123.3327616666666;	40.833333333333336;	8357888.0;	3623876.0;	5916.4;	1495.8666666666668;	70.06666666666666;	5274.933333333333
1375324677;	2;	5199.9986;	2137.1994246;	41.1;	8357888.0;	3976197.6;	6011.0;	959.8;	71.53333333333333;	5328.933333333333
1375324977;	2;	5199.9986;	2095.5994358;	40.3;	8357888.0;	3629468.0;	5716.133333333334;	2691.9333333333334;	66.86666666666666;	5080.733333333334
1375325277;	2;	5199.9986;	1818.2661771333335;	34.96666666666667;	8357888.0;	3282740.2666666666;	5156.466666666666;	915.9333333333334;	61.86666666666667;	4254.0
1375325577;	2;	5199.9986;	1757.5995268;	33.8;	8357888.0;	3361033.6;	4893.0;	741.5333333333332;	63.06666666666667;	4373.266666666666
1375325878;	2;	5199.9986;	1936.1328120666667;	37.233333333333334;	8357888.0;	3187668.533333333;	5432.599999999999;	1018.6;	67.6;	4882.266666666666
1375326178;	2;	5199.9986;	2147.5994217999996;	41.3;	8357888.0;	3517621.066666667;	5845.999999999999;	1126.9333333333334;	71.26666666666667;	5245.0
1375326478;	2;	5199.9986;	2083.4661057333333;	40.06666666666666;	8357888.0;	3388995.7333333334;	5621.0;	1822.2666666666664;	70.33333333333333;	5168.466666666666
1375326778;	2;	5199.9986;	2230.7993994;	42.9;	8357888.0;	3512028.533333333;	6206.0;	2078.8666666666663;	73.0;	5308.933333333333
1375327078;	2;	5199.9986;	2313.999377;	44.5;	8357888.0;	3752501.8666666667;	6747.266666666668;	2664.3333333333335;	78.46666666666667;	6141.666666666667
1375327378;	2;	5199.9986;	2572.265974133333;	49.46666666666667;	8357888.0;	4317335.466666667;	7287.533333333334;	3222.0;	80.06666666666666;	6369.6
1375327678;	2;	5199.9986;	2296.6660483333335;	44.16666666666667;	8357888.0;	4412407.2;	6381.266666666667;	2666.2;	74.6;	5650.066666666667
1375327978;	2;	5199.9986;	2149.3327546666665;	41.33333333333333;	8357888.0;	3841980.0;	6285.466666666666;	2115.0666666666666;	72.2;	5256.733333333334
1375328278;	2;	5199.9986;	2241.1993966;	43.1;	8357888.0;	3607099.2;	6032.6;	2090.7999999999997;	73.33333333333333;	5302.266666666666
1375328578;	2;	5199.9986;	2435.3326776666663;	46.83333333333333;	8357888.0;	3506436.0;	7119.466666666668;	2753.4;	80.53333333333333;	6463.866666666667
1375328878;	2;	5199.9986;	2225.5994008;	42.8;	8357888.0;	4451552.8;	8630.4;	1564.1333333333334;	75.33333333333333;	6580.066666666667
1375329178;	2;	5199.9986;	2582.665971333334;	49.66666666666667;	8357888.0;	4736765.6;	7397.4;	3306.2000000000003;	80.73333333333333;	6566.933333333333
1375329478;	2;	5199.9986;	2759.4659237333335;	53.06666666666667;	8357888.0;	4557808.8;	7527.2;	4143.866666666667;	80.66666666666667;	6467.533333333334
1375329778;	2;	5199.9986;	2572.265974133333;	49.46666666666667;	8357888.0;	4843020.8;	7054.933333333333;	3689.4666666666667;	77.53333333333333;	6044.466666666666
1375330078;	2;	5199.9986;	2417.9993489999997;	46.5;	8357888.0;	4384444.266666667;	6562.866666666665;	1600.9333333333334;	77.33333333333333;	5909.2
1375330378;	2;	5199.9986;	2383.3326916666665;	45.83333333333333;	8357888.0;	3959419.7333333334;	6833.799999999999;	3397.0;	75.93333333333334;	5838.866666666667
1375330678;	2;	5199.9986;	2326.132707066666;	44.73333333333333;	8357888.0;	4054491.7333333334;	6720.933333333333;	3003.266666666667;	76.53333333333333;	5829.333333333333
1375330978;	2;	5199.9986;	2417.9993489999997;	46.5;	8357888.0;	3802833.8666666667;	6747.733333333334;	2914.4666666666667;	76.13333333333334;	5790.533333333334
1375331278;	2;	5199.9986;	2546.2659811333333;	48.96666666666667;	8357888.0;	4110416.0;	6926.2;	3138.2000000000003;	78.4;	6253.2
1375331578;	2;	5199.9986;	2645.0659545333333;	50.86666666666667;	8357888.0;	4278188.0;	7216.9333333333325;	3565.3333333333335;	76.93333333333334;	6094.6
1375331878;	2;	5199.9986;	2546.2659811333333;	48.96666666666667;	8357888.0;	3981790.1333333333;	7074.666666666667;	4089.333333333333;	78.6;	6162.266666666666
1375332178;	2;	5199.9986;	2605.1992986;	50.1;	8357888.0;	4222264.266666667;	7034.799999999999;	3896.6;	77.2;	6221.333333333333
1375332478;	2;	5199.9986;	2610.3992972;	50.2;	8357888.0;	4037714.1333333333;	7162.4;	4034.8;	76.66666666666667;	6250.066666666667
1375332778;	2;	5199.9986;	1913.5994848;	36.8;	8357888.0;	4222264.8;	7173.399999999999;	786.5999999999999;	70.4;	6176.533333333334
1375333078;	2;	5199.9986;	1547.8662499333334;	29.766666666666666;	8357888.0;	4032122.4;	7131.8;	26.06666666666667;	68.53333333333333;	6144.8
1375333378;	2;	5199.9986;	1469.8662709333332;	28.266666666666666;	8357888.0;	3987382.933333333;	6605.133333333333;	27.866666666666667;	66.4;	5836.8
1375333678;	2;	5199.9986;	1516.6662583333332;	29.166666666666664;	8357888.0;	3914681.6;	6686.4;	29.133333333333336;	67.86666666666666;	5985.866666666667
1375333978;	2;	5199.9986;	1790.5328512666667;	34.43333333333334;	8357888.0;	4004159.2;	8150.333333333333;	27.266666666666666;	72.0;	6959.933333333333
1375334278;	2;	5199.9986;	1695.1995436;	32.6;	8357888.0;	4082453.3333333335;	7624.666666666666;	27.733333333333334;	69.4;	6490.6
1375334578;	2;	5199.9986;	1733.3328666666669;	33.333333333333336;	8357888.0;	3948235.466666667;	7543.266666666666;	26.06666666666667;	70.4;	6614.6
1375334878;	2;	5199.9986;	1717.7328708666664;	33.03333333333333;	8357888.0;	4143970.4;	7716.466666666666;	28.066666666666663;	71.33333333333333;	6706.6
1375335179;	2;	5199.9986;	1712.532872266667;	32.93333333333334;	8357888.0;	4239042.133333334;	7623.333333333333;	201.13333333333333;	70.46666666666667;	6546.333333333333
1375335479;	2;	5199.9986;	1653.5995548;	31.8;	8357888.0;	4294966.4;	7508.4;	29.466666666666665;	70.06666666666666;	6524.266666666666
1375335779;	2;	5199.9986;	1651.8662219333332;	31.766666666666666;	8357888.0;	4026529.6;	7223.933333333333;	25.93333333333333;	68.2;	6159.333333333333
1375336079;	2;	5199.9986;	1639.7328918666667;	31.533333333333335;	8357888.0;	4177524.8;	7347.000000000001;	29.466666666666665;	70.46666666666667;	6502.333333333333
1375336378;	2;	5199.9986;	1551.3329156666668;	29.833333333333336;	8357888.0;	4043306.4;	6943.733333333334;	25.0;	68.66666666666667;	6232.266666666666
1375336678;	2;	5199.9986;	1613.7328988666666;	31.033333333333335;	8357888.0;	4143969.6;	7321.0;	29.799999999999997;	69.26666666666667;	6311.133333333333
1375336978;	2;	5199.9986;	1637.999559;	31.5;	8357888.0;	3774872.0;	7238.466666666667;	29.53333333333333;	69.46666666666667;	6502.666666666667
1375337278;	2;	5199.9986;	1535.7329198666669;	29.533333333333335;	8357888.0;	4345297.6;	7233.533333333333;	27.333333333333336;	69.13333333333334;	6350.933333333333
1375337578;	2;	5199.9986;	1743.7328638666665;	33.53333333333333;	8357888.0;	3942643.2;	7735.0;	25.666666666666668;	70.06666666666666;	6805.8
1375337878;	2;	5199.9986;	1468.1329380666668;	28.233333333333334;	8357888.0;	4244633.066666666;	6455.466666666666;	26.666666666666664;	62.06666666666667;	5372.2
1375338178;	2;	5199.9986;	1261.8663269333333;	24.266666666666666;	8357888.0;	3467288.533333333;	5604.9333333333325;	25.6;	61.13333333333333;	4921.266666666666
1375338478;	2;	5199.9986;	1331.1996416;	25.6;	8357888.0;	3405773.066666667;	6055.799999999999;	26.733333333333334;	63.266666666666666;	5468.333333333333
1375338778;	2;	5199.9986;	1573.8662429333333;	30.266666666666666;	8357888.0;	3853164.533333333;	7103.533333333334;	34.33333333333333;	65.93333333333334;	6050.066666666667
1375339078;	2;	5199.9986;	1532.2662541333332;	29.466666666666665;	8357888.0;	3668615.466666667;	6814.799999999999;	26.133333333333333;	64.2;	5810.666666666667
1375339378;	2;	5199.9986;	1601.5995688;	30.8;	8357888.0;	4020936.8;	7180.733333333333;	26.933333333333334;	66.4;	6318.666666666667
1375339678;	2;	5199.9986;	1750.6661953333332;	33.666666666666664;	8357888.0;	3953828.8;	7818.066666666667;	28.66666666666667;	69.53333333333333;	6887.066666666667
1375339978;	2;	5199.9986;	1655.3328876666667;	31.833333333333336;	8357888.0;	4278188.0;	7537.2;	29.6;	66.86666666666666;	6349.4
1375340278;	2;	5199.9986;	863.1997676000001;	16.6;	8357888.0;	3478473.3333333335;	3429.4;	23.666666666666668;	37.2;	2995.2
1375340578;	2;	5199.9986;	975.8664039333332;	18.766666666666666;	8357888.0;	2667576.2666666666;	4142.266666666667;	26.066666666666666;	42.266666666666666;	3546.9333333333334
1375340878;	2;	5199.9986;	929.0664165333334;	17.866666666666667;	8357888.0;	2477434.1333333333;	4089.9333333333334;	23.866666666666667;	43.4;	3489.866666666667
1375341178;	2;	5199.9986;	1346.7996373999997;	25.9;	8357888.0;	2880086.6666666665;	6017.333333333333;	25.866666666666667;	58.6;	5201.8
1375341479;	2;	5199.9986;	1521.8662569333333;	29.266666666666666;	8357888.0;	3484066.6666666665;	6699.866666666666;	26.666666666666668;	64.73333333333333;	5922.666666666667
1375341779;	2;	5199.9986;	1589.4662387333333;	30.566666666666666;	8357888.0;	3730132.0;	7142.066666666667;	26.200000000000003;	68.13333333333334;	6334.0
1375342079;	2;	5199.9986;	1693.4662107333331;	32.56666666666666;	8357888.0;	3992975.2;	7458.333333333334;	27.46666666666667;	68.46666666666667;	6482.8
1375342379;	2;	5199.9986;	1705.5995407999999;	32.8;	8357888.0;	4211079.2;	8001.133333333333;	122.06666666666666;	69.26666666666667;	6733.0
1375342679;	2;	5199.9986;	1719.466203733333;	33.06666666666666;	8357888.0;	4233448.533333333;	7452.666666666667;	27.2;	69.93333333333334;	6754.666666666667
1375342979;	2;	5199.9986;	1703.8662079333333;	32.766666666666666;	8357888.0;	4350889.6;	7995.333333333333;	28.933333333333337;	68.93333333333334;	6679.333333333333
1375343279;	2;	5199.9986;	1766.2661911333335;	33.96666666666667;	8357888.0;	4445960.8;	8085.6;	29.400000000000002;	69.53333333333333;	7074.933333333333
1375343579;	2;	5199.9986;	1672.6662163333333;	32.166666666666664;	8357888.0;	4591364.0;	7591.799999999999;	28.733333333333334;	68.2;	6635.0
1375343879;	2;	5199.9986;	1757.5995268;	33.8;	8357888.0;	4076861.066666667;	7943.0;	28.599999999999998;	70.0;	6829.466666666666
1375344179;	2;	5199.9986;	1603.3329016666667;	30.833333333333336;	8357888.0;	3959420.8;	7038.733333333334;	28.46666666666667;	64.46666666666667;	5890.333333333333
