Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1375308176;	4;	11703.997712;	420.08991787714285;	3.5892857142857144;	2.097152E7;	1213350.857142857;	0.07142857142857142;	99.78571428571429;	54.142857142857146;	38.785714285714285
1375308476;	4;	11703.997712;	319.76993748857143;	2.732142857142857;	2.097152E7;	1108493.142857143;	0.07142857142857142;	15.0;	54.714285714285715;	41.642857142857146
1375308776;	4;	11703.997712;	265.2906148053333;	2.2666666666666666;	2.097152E7;	1048574.4;	0.06666666666666667;	11.6;	52.4;	30.266666666666666
1375309076;	4;	11703.997712;	307.22993994;	2.625;	2.097152E7;	748981.7142857143;	0.0;	13.5;	51.42857142857143;	30.071428571428573
1375309376;	4;	11703.997712;	403.36992114571433;	3.4464285714285716;	2.097152E7;	808900.0;	0.0;	17.357142857142858;	56.57142857142857;	49.285714285714285
1375309676;	4;	11703.997712;	288.4199436171428;	2.464285714285714;	2.097152E7;	1093513.7142857143;	0.0;	14.428571428571429;	53.142857142857146;	32.142857142857146
1375309976;	4;	11703.997712;	395.00992277999995;	3.375;	2.097152E7;	1018616.0;	0.07142857142857142;	16.928571428571427;	54.785714285714285;	39.07142857142857
1375310276;	4;	11703.997712;	317.6799378971429;	2.7142857142857144;	2.097152E7;	823880.2857142857;	0.0;	27.071428571428573;	53.285714285714285;	37.07142857142857
1375310576;	4;	11703.997712;	277.96994566;	2.375;	2.097152E7;	599184.5714285715;	0.0;	13.071428571428571;	52.92857142857143;	30.928571428571427
1375310876;	4;	11703.997712;	319.9092707946666;	2.733333333333333;	2.097152E7;	824877.6;	0.0;	13.266666666666667;	53.93333333333333;	39.46666666666667
1375311176;	4;	11703.997712;	284.7972776586667;	2.4333333333333336;	2.097152E7;	838859.7333333333;	0.0;	13.133333333333333;	52.8;	30.533333333333335
1375311476;	4;	11703.997712;	275.043946232;	2.35;	2.097152E7;	1174402.6666666667;	0.0;	12.6;	52.93333333333333;	30.666666666666668
1375311776;	4;	11703.997712;	286.74794394400004;	2.45;	2.097152E7;	992650.6666666666;	0.0;	12.933333333333334;	53.06666666666667;	31.266666666666666
1375312076;	4;	11703.997712;	386.231924496;	3.3;	2.097152E7;	1132461.6;	0.0;	19.666666666666668;	56.6;	52.0
1375312376;	4;	11703.997712;	304.303940512;	2.6;	2.097152E7;	1216346.6666666667;	0.0;	13.133333333333333;	53.46666666666667;	36.733333333333334
1375312676;	4;	11703.997712;	273.0932799466667;	2.3333333333333335;	2.097152E7;	852840.5333333333;	0.0;	11.666666666666666;	52.86666666666667;	30.533333333333335
1375312976;	4;	11703.997712;	278.9452788026667;	2.3833333333333333;	2.097152E7;	643124.2666666667;	0.0;	11.666666666666666;	52.733333333333334;	30.533333333333335
