Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1375308176;	2;	5199.999202;	644.799901048;	12.4;	2291165.8666666667;	525684.0;	0.13333333333333333;	11.533333333333333;	525.7333333333333;	367.06666666666666
1375308476;	2;	5199.999202;	632.6665695766667;	12.166666666666668;	2298538.6666666665;	458576.26666666666;	0.0;	9.466666666666667;	596.9333333333333;	544.0666666666667
1375308776;	2;	5199.999202;	864.9332005993333;	16.633333333333333;	2299904.0;	469760.5333333333;	0.0;	9.266666666666666;	738.4;	648.7333333333333
1375309076;	2;	5199.999202;	887.4665304746667;	17.066666666666666;	2314786.1333333333;	553646.4;	0.0;	9.133333333333333;	731.7333333333333;	618.4666666666667
1375309376;	2;	5199.999202;	731.4665544146668;	14.066666666666668;	2330214.4;	564832.0;	0.3333333333333333;	6.866666666666667;	622.5333333333333;	522.3333333333334
1375309676;	2;	5199.999202;	721.0665560106667;	13.866666666666667;	2332672.0;	587201.6;	0.0;	7.133333333333333;	647.8;	626.7333333333333
1375309976;	2;	5199.999202;	779.9998803;	15.0;	2332672.0;	592794.1333333333;	0.0;	8.866666666666665;	620.7333333333333;	498.1333333333333
1375310276;	2;	5199.999202;	627.4665703746667;	12.066666666666668;	2332672.0;	436205.6;	0.0;	6.133333333333333;	488.26666666666665;	333.6
1375310576;	2;	5199.999202;	575.4665783546667;	11.066666666666668;	2332672.0;	374688.8;	0.0;	5.333333333333333;	486.8;	303.26666666666665
1375310876;	2;	5199.999202;	691.599893866;	13.3;	2332672.0;	318766.13333333336;	0.0;	7.066666666666666;	632.3333333333334;	509.93333333333334
1375311176;	2;	5199.999202;	440.26659910266665;	8.466666666666667;	2332672.0;	346728.5333333333;	0.0;	5.933333333333334;	364.53333333333336;	256.93333333333334
1375311476;	2;	5199.999202;	507.8665887286666;	9.766666666666666;	2332672.0;	296396.0;	0.0;	6.333333333333334;	453.8;	347.93333333333334
1375311776;	2;	5199.999202;	516.5332540653333;	9.933333333333334;	2332672.0;	318766.4;	0.0;	11.133333333333333;	404.2;	311.6666666666667
1375312076;	2;	5199.999202;	511.33325486333337;	9.833333333333334;	2332672.0;	391466.13333333336;	0.0;	6.066666666666666;	443.8;	328.73333333333335
1375312376;	2;	5199.999202;	597.99990823;	11.5;	2332672.0;	413836.8;	0.0;	6.133333333333334;	464.8;	307.2
1375312676;	2;	5199.999202;	452.39993057399994;	8.7;	2332672.0;	419428.8;	0.0;	6.533333333333334;	437.93333333333334;	318.53333333333336
1375312976;	2;	5199.999202;	665.599897856;	12.8;	2332672.0;	301988.8;	0.0;	5.533333333333333;	496.93333333333334;	339.3333333333333
1375313276;	2;	5199.999202;	691.599893866;	13.3;	2332672.0;	313173.3333333333;	0.0;	6.333333333333333;	552.7333333333333;	347.53333333333336
1375313576;	2;	5199.999202;	344.9332803993334;	6.633333333333334;	2332672.0;	324358.6666666667;	0.0;	4.933333333333334;	320.6666666666667;	224.26666666666668
1375313876;	2;	5199.999202;	377.8666086786667;	7.266666666666667;	2332672.0;	285211.4666666667;	0.0;	5.466666666666667;	339.3333333333333;	280.0
1375314176;	2;	5199.999202;	381.33327481333333;	7.333333333333334;	2332672.0;	313173.86666666664;	0.0;	4.866666666666666;	330.06666666666666;	250.73333333333332
1375314476;	2;	5199.999202;	445.4665983046666;	8.566666666666666;	2332672.0;	419428.8;	0.0;	5.8;	419.06666666666666;	268.0
1375314776;	2;	5199.999202;	464.53326204533334;	8.933333333333334;	2332672.0;	357913.6;	0.0;	5.8;	376.4;	320.46666666666664
1375315076;	2;	5199.999202;	412.5332700253333;	7.933333333333334;	2332672.0;	329950.6666666667;	0.0;	4.8;	357.1333333333333;	241.2
1375315376;	2;	5199.999202;	447.199931372;	8.6;	2332672.0;	363505.86666666664;	0.0;	9.533333333333333;	431.4;	294.93333333333334
1375315676;	2;	5199.999202;	485.3332588533334;	9.333333333333334;	2332672.0;	329949.6;	0.0;	6.666666666666667;	408.6;	322.8666666666667
1375315976;	2;	5199.999202;	419.46660229466664;	8.066666666666666;	2332672.0;	335543.4666666667;	0.0;	4.733333333333333;	369.46666666666664;	245.0
1375316277;	2;	5199.999202;	415.99993616;	8.0;	2332672.0;	301988.8;	0.0;	5.066666666666666;	367.3333333333333;	311.6
1375316577;	2;	5199.999202;	360.53327800533333;	6.933333333333334;	2332672.0;	296396.26666666666;	0.0;	3.8;	321.6;	211.46666666666667
1375316877;	2;	5199.999202;	372.6666094766666;	7.166666666666666;	2332672.0;	240471.73333333334;	0.0;	4.466666666666667;	346.53333333333336;	250.86666666666667
1375317177;	2;	5199.999202;	476.66659351666664;	9.166666666666666;	2332672.0;	324357.6;	0.0;	5.666666666666667;	426.46666666666664;	300.73333333333335
