Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1375308176;	2;	5199.999262;	154.26664477266667;	2.966666666666667;	8267776.0;	497722.93333333335;	0.0;	18.6;	0.06666666666666667;	0.06666666666666667
1375308476;	2;	5199.999262;	135.199980812;	2.6;	8267776.0;	699049.3333333334;	0.0;	13.866666666666667;	0.13333333333333333;	0.06666666666666667
1375308776;	2;	5199.999262;	280.799960148;	5.4;	8267776.0;	917152.8;	12.8;	31.8;	0.0;	0.0
1375309076;	2;	5199.999262;	140.399980074;	2.7;	8267776.0;	945115.2;	0.8666666666666667;	14.733333333333334;	0.2;	0.2
1375309376;	2;	5199.999262;	181.99997417000003;	3.5;	8267776.0;	687864.8;	0.0;	15.466666666666667;	0.0;	0.26666666666666666
1375309676;	2;	5199.999262;	140.399980074;	2.7;	8267776.0;	603978.6666666666;	0.0;	13.933333333333334;	0.2;	0.2
1375309976;	2;	5199.999262;	287.73329249733337;	5.533333333333334;	8267776.0;	564830.6666666666;	0.0;	14.466666666666667;	0.0;	0.2
1375310276;	2;	5199.999262;	348.39995055400004;	6.7;	8267776.0;	587201.0666666667;	0.0;	14.0;	0.2;	0.2
1375310576;	2;	5199.999262;	201.0666381306667;	3.8666666666666667;	8267776.0;	603978.1333333333;	0.13333333333333333;	14.733333333333334;	0.0;	0.0
1375310876;	2;	5199.999262;	285.99995941000003;	5.5;	8267776.0;	788527.2;	0.0;	129.73333333333332;	1.4666666666666666;	0.2
1375311176;	2;	5199.999262;	162.93331020933334;	3.1333333333333333;	8267776.0;	1006630.1333333333;	0.0;	16.2;	0.0;	0.26666666666666666
1375311476;	2;	5199.999262;	140.399980074;	2.7;	8267776.0;	771750.1333333333;	0.0;	14.266666666666666;	0.2;	0.2
1375311776;	2;	5199.999262;	178.53330799533333;	3.433333333333333;	8267776.0;	822082.1333333333;	0.0;	20.8;	0.06666666666666667;	0.3333333333333333
1375312076;	2;	5199.999262;	256.53329692533333;	4.933333333333334;	8267776.0;	693456.8;	0.0;	14.733333333333334;	0.2;	0.13333333333333333
1375312376;	2;	5199.999262;	150.799978598;	2.9;	8267776.0;	603978.1333333333;	0.0;	15.533333333333335;	0.0;	0.0
1375312676;	2;	5199.999262;	143.86664624866668;	2.766666666666667;	8267776.0;	475353.3333333333;	0.0;	14.866666666666667;	0.2;	0.13333333333333333
1375312976;	2;	5199.999262;	138.6666469866667;	2.666666666666667;	8267776.0;	721418.6666666666;	0.2857142857142857;	16.642857142857142;	0.0;	0.26666666666666666
1375313276;	2;	5199.999262;	140.399980074;	2.7;	8267776.0;	637532.8;	0.0;	14.4;	0.2;	0.13333333333333333
1375313576;	2;	5199.999262;	138.6666469866667;	2.666666666666667;	8267776.0;	626347.7333333333;	0.0;	13.357142857142858;	0.0;	0.0
1375313876;	2;	5199.999262;	140.399980074;	2.7;	8267776.0;	536869.6;	0.0;	14.533333333333333;	0.2;	0.13333333333333333
1375314176;	2;	5199.999262;	136.93331389933334;	2.6333333333333333;	8267776.0;	721418.4;	0.0;	14.133333333333333;	0.0;	0.0
1375314476;	2;	5199.999262;	239.19996605199998;	4.6;	8267776.0;	945114.4;	0.0;	129.53333333333333;	1.4666666666666666;	0.13333333333333333
1375314776;	2;	5199.999262;	240.93329913933331;	4.633333333333333;	8267776.0;	1308620.0;	0.0;	16.333333333333332;	0.0;	0.26666666666666666
1375315076;	2;	5199.999262;	140.399980074;	2.7;	8267776.0;	637532.8;	0.0;	14.666666666666668;	0.2;	0.13333333333333333
1375315376;	2;	5199.999262;	155.99997786;	3.0;	8267776.0;	570424.0;	0.0;	19.933333333333334;	0.06666666666666667;	0.06666666666666667
1375315676;	2;	5199.999262;	249.59996457600002;	4.8;	8267776.0;	760564.8;	0.0;	13.666666666666668;	0.2;	0.13333333333333333
1375315976;	2;	5199.999262;	135.199980812;	2.6;	8267776.0;	788527.2;	0.0;	16.333333333333332;	0.0;	0.0
1375316277;	2;	5199.999262;	140.399980074;	2.7;	8267776.0;	654309.6;	0.0;	15.066666666666666;	0.2;	0.13333333333333333
1375316577;	2;	5199.999262;	279.06662706066663;	5.366666666666666;	8267776.0;	687863.7333333333;	0.0;	15.733333333333334;	0.0;	0.26666666666666666
1375316877;	2;	5199.999262;	140.399980074;	2.7;	8267776.0;	637532.8;	0.0;	14.266666666666666;	0.2;	0.13333333333333333
