Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1372629804;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	0.0;	0.0;	0.8;	0.0;	1.0
1372630104;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	0.0;	0.0;	0.8666666666666667;	0.0;	1.0
1372630404;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	0.0;	0.0;	0.6666666666666666;	0.0;	1.0
1372630704;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	134217.6;	0.0;	0.4666666666666667;	0.0;	1.0
1372631004;	8;	20799.996968;	98.79998559799998;	0.475;	3.2608256E7;	313174.4;	0.0;	0.8;	0.0;	1.0
1372631304;	8;	20799.996968;	105.73331792066665;	0.5083333333333333;	3.2608256E7;	67108.8;	0.0;	2.2;	0.0;	1.4666666666666666
1372631604;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	201326.4;	0.06666666666666667;	1.2;	0.0;	1.0
1372631904;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	0.0;	0.0;	0.5333333333333333;	0.0;	1.0
1372632204;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	67108.8;	0.0;	0.6666666666666666;	0.0;	1.0
1372632504;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	246065.6;	0.0;	0.8666666666666667;	0.0;	1.0
1372632804;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	0.0;	0.0;	0.8666666666666667;	0.0;	1.0
1372633104;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	0.0;	0.0;	0.8;	0.0;	1.0
1372633404;	8;	20799.996968;	98.79998559799998;	0.475;	3.2608256E7;	0.0;	0.3333333333333333;	0.8;	0.0;	1.0
1372633704;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	0.0;	0.0;	0.9333333333333333;	0.0;	1.0
1372634004;	8;	20799.996968;	103.99998484;	0.5;	3.2608256E7;	0.0;	0.0;	0.9333333333333333;	0.0;	1.0
1372634304;	8;	20799.996968;	97.06665251733331;	0.4666666666666666;	3.2608256E7;	0.0;	0.0;	0.8;	0.0;	1.0
1372634604;	8;	20799.996968;	98.79998559799998;	0.475;	3.2608256E7;	0.0;	0.0;	0.8;	0.0;	1.0
1372634903;	8;	20799.996968;	109.19998408200001;	0.525;	3.2608256E7;	201326.4;	0.06666666666666667;	2.2;	0.0;	1.4666666666666666
1372635203;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	67108.8;	0.0;	1.8;	0.0;	1.0
1372635503;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	0.0;	0.0;	0.6666666666666666;	0.0;	1.0
1372635803;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	0.0;	0.0;	7.8;	0.2;	1.1333333333333333
1372636103;	8;	20799.996968;	98.79998559799998;	0.475;	3.2608256E7;	89478.4;	0.0;	0.7333333333333333;	0.0;	1.0
1372636403;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	268435.2;	0.0;	0.6;	0.0;	1.0
1372636703;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	0.0;	0.0;	0.8;	0.0;	1.0
1372637004;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	67108.8;	0.0;	0.8666666666666667;	0.0;	1.0
1372637304;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	0.0;	0.0;	0.8;	0.0;	1.0
1372637604;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	156587.2;	0.0;	0.6666666666666666;	0.0;	1.0
1372637904;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	201326.4;	0.0;	0.9333333333333333;	0.0;	1.0
1372638204;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	0.0;	0.0;	0.8;	0.0;	1.0
1372638504;	8;	20799.996968;	107.46665100133332;	0.5166666666666666;	3.2608256E7;	134217.6;	0.0;	2.466666666666667;	0.0;	1.4666666666666666
1372638804;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	0.0;	0.0;	1.2666666666666666;	0.0;	1.0
1372639104;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	134217.6;	0.0;	0.9333333333333333;	0.0;	1.0
1372639404;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	201326.4;	0.0;	0.7333333333333333;	0.0;	1.0
1372639704;	8;	20799.996968;	98.79998559799998;	0.475;	3.2608256E7;	134217.6;	0.0;	0.8666666666666667;	0.0;	1.0
1372640004;	8;	20799.996968;	98.79998559799998;	0.475;	3.2608256E7;	0.0;	0.0;	0.7333333333333333;	0.0;	1.0
1372640304;	8;	20799.996968;	98.79998559799998;	0.475;	3.2608256E7;	0.0;	0.0;	0.6;	0.0;	1.0
1372640604;	8;	20799.996968;	103.99998484;	0.5;	3.2608256E7;	0.0;	0.0;	0.8666666666666667;	0.0;	1.0
1372640904;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	0.0;	0.0;	0.6;	0.0;	1.0
1372641204;	8;	20799.996968;	97.06665251733331;	0.4666666666666666;	3.2608256E7;	0.0;	0.06666666666666667;	0.8;	0.0;	1.0
1372641504;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	0.0;	0.0;	1.0;	0.0;	1.0
1372641804;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	0.0;	0.0;	0.8;	0.0;	1.0
1372642104;	8;	20799.996968;	105.73331792066665;	0.5083333333333333;	3.2608256E7;	67108.8;	0.0;	2.2666666666666666;	0.0;	1.4666666666666666
1372642404;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	0.0;	0.0;	0.7333333333333333;	0.0;	1.0
1372642704;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	0.0;	0.0;	7.733333333333333;	0.2;	1.1333333333333333
1372643004;	8;	20799.996968;	98.79998559799998;	0.475;	3.2608256E7;	67108.8;	0.0;	0.8;	0.0;	1.0
1372643305;	8;	20799.996968;	97.06665251733331;	0.4666666666666666;	3.2608256E7;	44739.2;	0.0;	0.8666666666666667;	0.0;	1.0
1372643605;	8;	20799.996968;	102.26665175933333;	0.49166666666666664;	3.2608256E7;	22369.6;	0.0;	0.6;	0.0;	1.0
1372643905;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	0.0;	0.0;	0.9333333333333333;	0.0;	1.0
1372644205;	8;	20799.996968;	100.53331867866667;	0.48333333333333334;	3.2608256E7;	0.0;	0.0;	0.8666666666666667;	0.0;	1.0
