Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1372629804;	4;	11703.997712;	3259.5633627920006;	27.85;	3141632.0;	668290.6666666666;	1753.8000000000002;	47.86666666666667;	0.8;	2.2666666666666666
1372630104;	4;	11703.997712;	3234.204701082667;	27.633333333333336;	3141632.0;	791323.4666666667;	3072.2;	130.86666666666667;	0.7333333333333333;	2.3333333333333335
1372630404;	4;	11703.997712;	3243.958032509333;	27.716666666666665;	3141632.0;	847247.2;	2883.6666666666665;	139.13333333333335;	0.9333333333333333;	2.4
1372630704;	4;	11703.997712;	3232.254034797333;	27.616666666666664;	3141632.0;	905966.9333333333;	3006.4;	144.0;	1.0666666666666667;	2.4
1372631004;	4;	11703.998152;	3183.487497344;	27.2;	3141632.0;	713028.0;	3055.5;	144.0;	0.0;	0.0
1372631304;	4;	11703.998152;	3242.007488104;	27.7;	3141632.0;	766156.5333333333;	2937.133333333333;	150.66666666666669;	0.8666666666666667;	2.3333333333333335
1372631604;	4;	11703.998152;	3228.3528235933336;	27.583333333333336;	3141632.0;	959095.2;	2934.133333333333;	145.13333333333335;	0.8666666666666667;	2.3333333333333335
1372631904;	4;	11703.998152;	3255.662152614667;	27.816666666666666;	3141632.0;	967484.0;	2826.7333333333336;	150.8;	0.9333333333333333;	2.4
1372632204;	4;	11703.998152;	3245.9088208213334;	27.733333333333334;	3141632.0;	942319.4666666667;	2914.133333333333;	149.8;	0.9333333333333333;	2.3333333333333335
1372632504;	4;	11703.998152;	3000.124859629334;	25.633333333333336;	3141632.0;	878005.8666666667;	4177.533333333334;	134.0666666666667;	1.0;	2.4
1372632804;	4;	11703.998152;	3179.5861646266667;	27.166666666666664;	3141632.0;	897578.6666666666;	2730.0666666666666;	144.26666666666665;	1.0666666666666667;	2.4
1372633104;	4;	11703.998152;	3206.895493648;	27.4;	3141632.0;	780137.8666666667;	2066.6666666666665;	48.199999999999996;	0.6666666666666666;	2.2666666666666666
1372633404;	4;	11703.998152;	3134.7208383773336;	26.783333333333335;	3141632.0;	645921.6;	1940.2666666666667;	53.33333333333333;	0.9333333333333333;	2.2666666666666666
1372633704;	4;	11703.998152;	3095.7075112039997;	26.45;	3141632.0;	589997.0666666667;	1995.2666666666669;	46.199999999999996;	0.8;	2.2666666666666666
1372634004;	4;	11703.997712;	2990.3714154159998;	25.55;	3141632.0;	461372.0;	2201.25;	28.5;	0.0;	0.0
1372634304;	4;	11703.997712;	3240.056699938667;	27.683333333333334;	3141632.0;	511703.4666666667;	2348.9333333333334;	52.13333333333333;	1.1333333333333333;	2.3333333333333335
1372634604;	4;	11703.997712;	3257.612696506667;	27.833333333333336;	3141632.0;	654309.8666666667;	2378.2;	51.8;	1.1333333333333333;	2.3333333333333335
1372634903;	4;	11703.997712;	3251.7606976506668;	27.783333333333335;	3141632.0;	634735.4666666667;	1803.3333333333333;	47.46666666666666;	0.5333333333333333;	2.2666666666666666
1372635203;	4;	11703.997712;	3261.514029077333;	27.866666666666664;	3141632.0;	556441.8666666667;	2015.0666666666668;	50.53333333333333;	0.6;	2.2666666666666666
1372635503;	4;	11703.997712;	3261.514029077333;	27.866666666666664;	3141632.0;	640327.2;	2010.6;	49.266666666666666;	1.2;	2.4
1372635803;	4;	11703.997712;	3271.267360504;	27.95;	3141632.0;	657105.3333333334;	2015.8666666666668;	50.8;	1.0;	2.3333333333333335
1372636103;	4;	11703.997712;	3273.218026789333;	27.966666666666665;	3141632.0;	567627.2;	2002.1333333333332;	45.599999999999994;	0.7333333333333333;	2.2
1372636403;	4;	11703.997712;	3253.7113639360005;	27.8;	3141632.0;	640328.0;	1994.8;	48.33333333333333;	0.6666666666666666;	1.8666666666666667
1372636703;	4;	11703.997712;	3255.662030221333;	27.816666666666666;	3141632.0;	578812.5333333333;	2005.8666666666668;	46.86666666666667;	0.8;	2.2
1372637004;	4;	11703.997712;	3263.464695362667;	27.883333333333336;	3141632.0;	587199.4666666667;	1995.1999999999998;	46.4;	0.6666666666666666;	2.2
1372637304;	4;	11703.997712;	3273.218026789333;	27.966666666666665;	3141632.0;	567626.4;	2014.0666666666668;	48.93333333333333;	0.7333333333333333;	2.2
1372637604;	4;	11703.997712;	3265.415361648;	27.9;	3141632.0;	634735.7333333333;	1991.3999999999999;	45.0;	0.6666666666666666;	2.2666666666666666
1372637904;	4;	11703.997712;	3251.7606976506668;	27.783333333333335;	3141632.0;	578812.5333333333;	2002.0666666666666;	45.0;	0.7333333333333333;	2.2666666666666666
1372638204;	4;	11703.997712;	3253.7113639360005;	27.8;	3141632.0;	657105.0666666667;	1981.1333333333334;	45.13333333333333;	0.7333333333333333;	2.0
1372638504;	4;	11703.997712;	3255.662030221333;	27.816666666666666;	3141632.0;	645920.2666666667;	1977.1333333333332;	45.13333333333333;	0.7333333333333333;	2.2
1372638804;	4;	11703.997712;	3259.5633627920006;	27.85;	3141632.0;	631939.4666666667;	1983.7333333333333;	45.06666666666666;	0.7333333333333333;	2.2666666666666666
1372639104;	4;	11703.997712;	3249.810031365333;	27.766666666666666;	3141632.0;	556442.6666666666;	1995.6000000000001;	47.4;	0.7333333333333333;	2.2666666666666666
1372639404;	4;	11703.997712;	3251.7606976506668;	27.783333333333335;	3141632.0;	615162.9333333333;	1994.0;	45.6;	0.7333333333333333;	1.8666666666666667
1372639704;	4;	11703.997712;	3247.8593650800003;	27.75;	3141632.0;	576015.4666666667;	1959.4666666666667;	42.8;	0.6666666666666666;	2.2
1372640004;	4;	11703.997712;	3255.662030221333;	27.816666666666666;	3141632.0;	648717.0666666667;	1980.8666666666666;	45.666666666666664;	0.8;	2.0
1372640304;	4;	11703.997712;	3261.514029077333;	27.866666666666664;	3141632.0;	679475.7333333333;	1966.4;	42.599999999999994;	0.6;	2.2
1372640604;	4;	11703.997712;	3249.810031365333;	27.766666666666666;	3141632.0;	553646.6666666666;	1976.7333333333333;	48.0;	0.7333333333333333;	2.2
1372640904;	4;	11703.997712;	3247.8593650800003;	27.75;	3141632.0;	534073.3333333334;	1975.8666666666666;	45.4;	0.6;	2.2666666666666666
