Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1372629804;	2;	5851.9989;	87.7799835;	1.5;	8218624.0;	1034592.8;	160.86666666666667;	21.733333333333334;	0.26666666666666666;	1.4666666666666666
1372630104;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	458575.4666666667;	0.0;	2.3333333333333335;	0.2;	1.0
1372630404;	2;	5851.9989;	27.309328199999996;	0.4666666666666666;	8218624.0;	184548.0;	32.06666666666667;	4.2;	0.13333333333333333;	1.0666666666666667
1372630704;	2;	5851.9989;	23.4079956;	0.4;	8218624.0;	78292.26666666666;	0.0;	0.8666666666666667;	0.06666666666666667;	1.0
1372631004;	2;	5851.9989;	19.506663;	0.33333333333333337;	8218624.0;	167772.0;	0.0;	0.2;	0.13333333333333333;	1.0
1372631304;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	39146.13333333333;	0.0;	0.26666666666666666;	0.2;	1.0
1372631604;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	173363.2;	0.0;	0.4;	0.2;	1.0
1372631904;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	95068.8;	0.0;	0.2;	0.5333333333333333;	1.0
1372632204;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	145401.86666666667;	0.0;	0.2;	0.3333333333333333;	1.0
1372632504;	2;	5851.9989;	19.506663;	0.33333333333333337;	8218624.0;	11184.8;	0.0;	1.0;	0.4;	1.1333333333333333
1372632804;	2;	5851.9989;	27.309328199999996;	0.4666666666666666;	8218624.0;	134216.26666666666;	0.0;	0.2;	0.4;	1.0
1372633104;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	78292.8;	0.0;	0.2;	0.2;	1.0
1372633404;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	117440.26666666666;	0.0;	0.4666666666666667;	0.3333333333333333;	1.0
1372633704;	2;	5851.9989;	25.358661899999998;	0.43333333333333335;	8218624.0;	150994.4;	0.0;	0.2;	0.06666666666666667;	1.0
1372634004;	2;	5851.9989;	27.309328199999996;	0.4666666666666666;	8218624.0;	139808.53333333333;	0.0;	0.2;	0.0;	1.0
1372634304;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	83884.0;	0.0;	0.2;	0.06666666666666667;	1.0
1372634604;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	100661.6;	0.0;	0.2;	0.2;	1.0
1372634903;	2;	5851.9989;	25.358661899999998;	0.43333333333333335;	8218624.0;	212510.13333333333;	0.0;	0.2;	0.13333333333333333;	1.0
1372635203;	2;	5851.9989;	11.7039978;	0.2;	8218624.0;	100661.33333333333;	0.0;	1.0666666666666667;	0.2;	1.0
1372635503;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	117439.2;	0.0;	0.6;	0.4;	1.1333333333333333
1372635803;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	117439.2;	0.0;	0.2;	0.3333333333333333;	1.0
1372636103;	2;	5851.9989;	25.358661899999998;	0.43333333333333335;	8218624.0;	190140.8;	0.0;	0.2;	0.26666666666666666;	1.0
1372636403;	2;	5851.9989;	25.358661899999998;	0.43333333333333335;	8218624.0;	201324.8;	0.0;	0.2;	0.26666666666666666;	1.0
1372636703;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	128624.26666666666;	0.0;	0.2;	0.0;	1.0
1372637004;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	106254.4;	0.0;	0.4666666666666667;	0.26666666666666666;	1.0
1372637304;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	100661.6;	0.0;	0.26666666666666666;	0.13333333333333333;	1.0
1372637604;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	184548.0;	0.0;	0.26666666666666666;	0.2;	1.0
1372637904;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	190140.53333333333;	0.0;	0.26666666666666666;	0.06666666666666667;	1.0
1372638204;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	195732.53333333333;	0.0;	12.666666666666666;	0.13333333333333333;	1.0
1372638504;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	156586.4;	0.0;	0.26666666666666666;	0.13333333333333333;	1.0
1372638804;	2;	5851.9989;	25.358661899999998;	0.43333333333333335;	8218624.0;	117439.73333333334;	0.0;	0.7333333333333333;	0.26666666666666666;	1.0
1372639104;	2;	5851.9989;	21.457329299999998;	0.36666666666666664;	8218624.0;	111846.4;	0.0;	0.4666666666666667;	0.3333333333333333;	1.0
1372639404;	2;	5851.9989;	27.309328199999996;	0.4666666666666666;	8218624.0;	162178.66666666666;	0.0;	0.7333333333333333;	0.6;	1.0666666666666667
1372639704;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	167770.66666666666;	0.0;	0.2;	0.26666666666666666;	1.0
1372640004;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	78291.73333333334;	0.0;	0.2;	0.3333333333333333;	1.0
1372640304;	2;	5851.9989;	27.309328199999996;	0.4666666666666666;	8218624.0;	39145.86666666667;	0.0;	0.2;	0.2;	1.0
1372640604;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	111846.93333333333;	0.0;	0.13333333333333333;	0.2;	1.0
1372640904;	2;	5851.9989;	27.309328199999996;	0.4666666666666666;	8218624.0;	95069.86666666667;	0.0;	0.13333333333333333;	0.0;	1.0
1372641204;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	162178.93333333332;	0.0;	0.13333333333333333;	0.13333333333333333;	1.0
1372641504;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	61515.2;	0.0;	0.21428571428571427;	0.13333333333333333;	1.0
1372641804;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	123031.2;	0.0;	0.6666666666666666;	0.2;	1.0666666666666667
1372642104;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	156585.86666666667;	0.0;	0.26666666666666666;	0.13333333333333333;	1.0
1372642404;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	72700.26666666666;	0.0;	0.21428571428571427;	0.2;	1.0
1372642704;	2;	5851.9989;	27.309328199999996;	0.4666666666666666;	8218624.0;	22369.6;	0.0;	0.2;	0.3333333333333333;	1.0
1372643005;	2;	5851.9989;	29.259994499999998;	0.5;	8218624.0;	78293.6;	0.0;	0.2;	0.26666666666666666;	1.0
1372643305;	2;	5851.9989;	23.4079956;	0.4;	8218624.0;	33553.6;	0.0;	0.2;	0.3333333333333333;	1.0
