Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1372629804;	2;	5199.997934;	3151.1987480039998;	60.6;	8357888.0;	4171933.066666667;	11028.0;	29.769230769230766;	43.0;	3930.5333333333333
1372630104;	2;	5199.997934;	3145.99875007;	60.5;	8357888.0;	3802833.3333333335;	11205.066666666666;	24.733333333333334;	47.53333333333333;	4201.066666666667
1372630404;	2;	5199.997934;	3187.598733542;	61.3;	8357888.0;	4026529.6;	11218.142857142859;	25.57142857142857;	46.86666666666667;	4118.133333333333
1372630704;	2;	5199.997934;	3165.0654091613333;	60.86666666666667;	8357888.0;	3841980.8;	11244.6;	24.866666666666667;	46.13333333333333;	4094.266666666667
1372631004;	2;	5199.997934;	3180.6654029633337;	61.16666666666667;	8357888.0;	4278188.8;	11083.333333333332;	25.333333333333332;	44.46666666666667;	4053.133333333333
1372631304;	2;	5199.997934;	3180.6654029633337;	61.16666666666667;	8357888.0;	4160748.0;	11042.2;	25.46666666666667;	46.0;	4163.666666666667
1372631604;	2;	5199.997934;	3223.99871908;	62.0;	8357888.0;	3836387.2;	11507.466666666665;	36.06666666666666;	46.733333333333334;	4169.533333333334
1372631904;	2;	5199.997934;	3244.7987108159996;	62.4;	8357888.0;	4272596.266666667;	13085.466666666667;	118.2;	54.266666666666666;	4107.333333333333
1372632204;	2;	5199.997934;	3206.665392633334;	61.66666666666667;	8357888.0;	4317335.466666667;	10920.533333333335;	34.46666666666667;	51.93333333333333;	4142.733333333334
1372632504;	2;	5199.997934;	3215.3320558566666;	61.83333333333333;	8357888.0;	4171933.6;	11285.466666666667;	25.666666666666664;	45.93333333333333;	4181.466666666666
1372632804;	2;	5199.997934;	3158.1320785826665;	60.73333333333333;	8357888.0;	4345297.066666666;	11162.666666666668;	25.599999999999998;	45.53333333333333;	4221.266666666666
1372633104;	2;	5199.997934;	3178.9320703186663;	61.13333333333333;	8357888.0;	4060083.7333333334;	11108.933333333334;	24.400000000000002;	43.333333333333336;	4102.8
