Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1372629804;	2;	5851.998724;	79.97731589466666;	1.3666666666666665;	4175872.0;	41942.4;	0.0;	9.066666666666668;	0.0;	0.0
1372630104;	2;	5851.998724;	74.12531717066666;	1.2666666666666666;	4175872.0;	25165.6;	0.0;	8.066666666666666;	0.0;	0.0
1372630404;	2;	5851.998724;	66.32265220533333;	1.1333333333333333;	4175872.0;	22369.066666666666;	0.0;	7.6;	0.0;	0.0
1372630704;	2;	5851.998724;	89.73064710133335;	1.5333333333333334;	4175872.0;	53126.13333333333;	0.0;	8.2;	0.0;	0.0
1372631004;	2;	5851.998724;	66.32265220533333;	1.1333333333333333;	4175872.0;	22369.066666666666;	0.0;	7.733333333333333;	0.0;	0.0
1372631304;	2;	5851.998724;	87.77998086;	1.5;	4175872.0;	55921.333333333336;	0.0;	8.066666666666666;	0.0;	0.0
1372631604;	2;	5851.998724;	62.42131972266667;	1.0666666666666667;	4175872.0;	55922.4;	0.0;	8.266666666666666;	0.0;	0.0
1372631904;	2;	5851.998724;	70.223984688;	1.2;	4175872.0;	33552.0;	0.0;	8.0;	0.0;	0.0
1372632204;	2;	5851.998724;	87.77998086;	1.5;	4175872.0;	13980.0;	0.0;	7.933333333333333;	0.0;	0.0
1372632504;	2;	5851.998724;	76.075983412;	1.3;	4175872.0;	41942.666666666664;	0.0;	8.4;	0.0;	0.0
1372632804;	2;	5851.998724;	60.47065348133333;	1.0333333333333332;	4175872.0;	41941.6;	0.0;	7.6;	0.0;	0.0
1372633104;	2;	5851.998724;	62.42131972266667;	1.0666666666666667;	4175872.0;	41940.0;	0.0;	7.800000000000001;	0.0;	0.0
1372633404;	2;	5851.998724;	62.42131972266667;	1.0666666666666667;	4175872.0;	58717.6;	0.0;	9.333333333333332;	0.0;	0.0
1372633704;	2;	5851.998724;	58.51998724;	1.0;	4175872.0;	50329.6;	0.0;	7.933333333333333;	0.0;	0.0
1372634004;	2;	5851.998724;	64.371985964;	1.1;	4175872.0;	41940.0;	0.0;	7.6;	0.0;	0.0
1372634304;	2;	5851.998724;	78.02664965333334;	1.3333333333333335;	4175872.0;	41940.8;	0.0;	8.6;	0.0;	0.0
1372634604;	2;	5851.998724;	74.12531717066666;	1.2666666666666666;	4175872.0;	22368.0;	0.0;	7.933333333333334;	0.0;	0.0
1372634903;	2;	5851.998724;	62.42131972266667;	1.0666666666666667;	4175872.0;	27960.8;	0.0;	7.933333333333334;	0.0;	0.0
1372635203;	2;	5851.998724;	79.97731589466666;	1.3666666666666665;	4175872.0;	44736.53333333333;	0.0;	8.0;	0.0;	0.0
