Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1375174953;	0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0;	0.0
1375175253;	1;	2599.998993;	1255.4280851914286;	48.285714285714285;	1140850.857142857;	2387755.714285714;	1315.3076923076922;	5798.615384615385;	852.4615384615385;	14.692307692307692
1375175553;	1;	2599.998993;	1211.599530738;	46.6;	2430156.8;	2074780.8;	28.933333333333334;	1357.4666666666665;	50.666666666666664;	1.2
1375175853;	1;	2599.998993;	112.66662303;	4.333333333333333;	2432204.8;	1112887.4666666666;	269.8;	80.8;	7.8;	4.466666666666667
1375176153;	1;	2599.998993;	0.0;	0.0;	2433024.0;	444594.4;	0.0;	0.0;	0.0;	0.0
1375176453;	1;	2599.998993;	0.0;	0.0;	2433024.0;	69902.93333333333;	0.0;	0.0;	0.06666666666666667;	0.0
1375176753;	1;	2599.998993;	0.0;	0.0;	2433024.0;	25164.0;	1.2;	0.7333333333333333;	0.0;	0.0
1375177053;	1;	2599.998993;	0.0;	0.0;	2433024.0;	2796.0;	0.0;	0.2;	0.06666666666666667;	0.0
1375177353;	1;	2599.998993;	0.0;	0.0;	2433024.0;	5592.0;	0.0;	0.0;	0.0;	0.0
1375177653;	1;	2599.998993;	0.0;	0.0;	2433024.0;	30756.533333333333;	0.0;	0.7333333333333333;	0.06666666666666667;	0.0
1375177953;	1;	2599.998993;	0.0;	0.0;	2433024.0;	41941.066666666666;	0.0;	0.3333333333333333;	0.0;	0.0
1375178253;	1;	2599.998993;	0.0;	0.0;	2433024.0;	33552.0;	0.0;	0.06666666666666667;	0.06666666666666667;	0.0
1375178553;	1;	2599.998993;	0.0;	0.0;	2433024.0;	2796.0;	20.333333333333332;	25.866666666666667;	0.06666666666666667;	0.06666666666666667
1375178853;	1;	2599.998993;	0.0;	0.0;	480256.0;	3145728.0;	456.0;	22.0;	1.0;	2.0
1375179153;	1;	2599.998993;	41.599983888000004;	1.6;	491520.0;	1781178.6666666667;	2.7333333333333334;	2.6666666666666665;	0.0;	0.06666666666666667
1375179454;	1;	2599.998993;	0.0;	0.0;	491520.0;	486536.5333333333;	0.0;	0.4666666666666667;	0.06666666666666667;	0.0
1375179754;	1;	2599.998993;	0.0;	0.0;	491520.0;	103457.6;	0.0;	0.0;	0.0;	0.0
1375180054;	1;	2599.998993;	0.0;	0.0;	491520.0;	2796.0;	0.0;	0.06666666666666667;	0.06666666666666667;	0.0
1375180354;	1;	2599.998993;	0.0;	0.0;	491520.0;	0.0;	0.0;	0.06666666666666667;	0.0;	0.0
1375180654;	1;	2599.998993;	0.0;	0.0;	491520.0;	0.0;	0.0;	0.06666666666666667;	0.06666666666666667;	0.0
1375180954;	1;	2599.998993;	0.0;	0.0;	491520.0;	0.0;	0.0;	0.0;	0.0;	0.0
1375181254;	1;	2599.998993;	0.0;	0.0;	491520.0;	8388.0;	0.0;	0.2;	0.06666666666666667;	0.0
1375181554;	1;	2599.998993;	0.0;	0.0;	491520.0;	11184.0;	0.0;	0.06666666666666667;	0.0;	0.0
